benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
block-engine_decode+integrity_16threads_1MiB-blocks_16MiB/decode,block-engine_decode+integrity_16threads_1MiB-blocks_16MiB,decode,decode,unknown,unknown,0,1,1,3127877.519345238,3027640.5090669463,199688.63821091392,2952929.921460522,3093078.4131328985,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
block-engine_decode+integrity_16threads_1MiB-blocks_64MiB/decode,block-engine_decode+integrity_16threads_1MiB-blocks_64MiB,decode,decode,unknown,unknown,0,1,1,9205596.877777778,9128092.553746767,267303.91619745246,9025094.112138718,9211415.71151914,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
block-engine_decode+integrity_1threads_1MiB-blocks_16MiB/decode,block-engine_decode+integrity_1threads_1MiB-blocks_16MiB,decode,decode,unknown,unknown,0,1,1,17189581.53839869,17281878.199696247,253348.6203001404,17195094.655400828,17372731.462956097,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
block-engine_decode+integrity_1threads_1MiB-blocks_64MiB/decode,block-engine_decode+integrity_1threads_1MiB-blocks_64MiB,decode,decode,unknown,unknown,0,1,1,67908877.5,67930831.31333332,258519.17658410437,67837821.18099998,68019917.11583334,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
block-engine_decode+integrity_2threads_1MiB-blocks_16MiB/decode,block-engine_decode+integrity_2threads_1MiB-blocks_16MiB,decode,decode,unknown,unknown,0,1,1,8672858.933333334,8683331.450563712,46153.943867831375,8668157.10249302,8700443.855001947,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
block-engine_decode+integrity_2threads_1MiB-blocks_64MiB/decode,block-engine_decode+integrity_2threads_1MiB-blocks_64MiB,decode,decode,unknown,unknown,0,1,1,34408967.87301587,34512144.57727888,389047.3349533094,34376372.13981981,34650291.89775875,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
block-engine_decode+integrity_4threads_1MiB-blocks_16MiB/decode,block-engine_decode+integrity_4threads_1MiB-blocks_16MiB,decode,decode,unknown,unknown,0,1,1,4598150.658152174,4571003.278184519,100126.62693694542,4533113.946177765,4603070.591605764,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
block-engine_decode+integrity_4threads_1MiB-blocks_64MiB/decode,block-engine_decode+integrity_4threads_1MiB-blocks_64MiB,decode,decode,unknown,unknown,0,1,1,17965149.03125,17950214.953107968,152094.7146176788,17897040.234212983,18003986.600706264,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
block-engine_decode+integrity_8threads_1MiB-blocks_16MiB/decode,block-engine_decode+integrity_8threads_1MiB-blocks_16MiB,decode,decode,unknown,unknown,0,1,1,3638685.389687101,3567365.3935912726,152711.17777722646,3510595.2687751157,3617470.648813221,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
block-engine_decode+integrity_8threads_1MiB-blocks_64MiB/decode,block-engine_decode+integrity_8threads_1MiB-blocks_64MiB,decode,decode,unknown,unknown,0,1,1,11100904.666666668,11007946.738853987,221854.05343166212,10924728.064231472,11078966.60526672,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
block-engine_encode_16threads_1MiB-blocks_64MiB/encode,block-engine_encode_16threads_1MiB-blocks_64MiB,encode,encode,unknown,unknown,0,1,1,31134349.447916664,31158302.88624645,263422.45884646097,31067559.54472773,31252228.465633385,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
block-engine_encode_1threads_1MiB-blocks_64MiB/encode,block-engine_encode_1threads_1MiB-blocks_64MiB,encode,encode,unknown,unknown,0,1,1,151875320.5,151972031.46666667,330453.63386508636,151866119.4408333,152097111.94277775,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
block-engine_encode_2threads_1MiB-blocks_64MiB/encode,block-engine_encode_2threads_1MiB-blocks_64MiB,encode,encode,unknown,unknown,0,1,1,82197323.75,82328086.28333333,505424.672701038,82164824.44041666,82518822.44270833,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
block-engine_encode_4threads_1MiB-blocks_64MiB/encode,block-engine_encode_4threads_1MiB-blocks_64MiB,encode,encode,unknown,unknown,0,1,1,47530460.92857143,47640129.39999999,303517.66124315246,47539879.897023804,47752066.69488095,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
