benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
avx2_avx2-2x8-on16_into_FREQ1_RESIDUAL_1MiB/iter,avx2_avx2-2x8-on16_into_FREQ1_RESIDUAL_1MiB,iter,iter,unknown,unknown,1048576,1,1,877476.4756418697,876106.457919528,5657.83623823551,874510.4321366835,877611.0003998564,1,1.1129215735221272,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
avx2_avx2-2x8-on16_into_FREQ1_RESIDUAL_256KiB/iter,avx2_avx2-2x8-on16_into_FREQ1_RESIDUAL_256KiB,iter,iter,unknown,unknown,0,1,1,210751.2685795686,210179.8669575288,1382.330164046617,209782.242384029,210540.55051217016,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
avx2_avx2-2x8-on16_into_FREQ1_RESIDUAL_64KiB/iter,avx2_avx2-2x8-on16_into_FREQ1_RESIDUAL_64KiB,iter,iter,unknown,unknown,0,1,1,49268.84044761473,49446.954963239055,328.2037230963522,49359.34623175428,49539.64730178018,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
avx2_avx2-2x8-on16_into_RENORM_BOUNDARY_1MiB/iter,avx2_avx2-2x8-on16_into_RENORM_BOUNDARY_1MiB,iter,iter,unknown,unknown,1048576,1,1,797480.303896104,796197.3271581229,5760.66197671637,794622.2092511575,797783.6978181266,1,1.2245600239015142,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
avx2_avx2-2x8-on16_into_RENORM_BOUNDARY_256KiB/iter,avx2_avx2-2x8-on16_into_RENORM_BOUNDARY_256KiB,iter,iter,unknown,unknown,0,1,1,199818.51719090412,199263.51742474004,1378.511132813254,198868.55677162603,199623.34307523,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
avx2_avx2-2x8-on16_into_RENORM_BOUNDARY_64KiB/iter,avx2_avx2-2x8-on16_into_RENORM_BOUNDARY_64KiB,iter,iter,unknown,unknown,0,1,1,49184.81539800459,49360.64992540021,335.5387954109723,49273.60146579562,49456.44268390151,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
avx2_avx2-2x8-on16_into_SKEWED_255_1_1MiB/iter,avx2_avx2-2x8-on16_into_SKEWED_255_1_1MiB,iter,iter,unknown,unknown,1048576,1,1,916870.5878153011,919135.806018635,5369.760412331891,917742.6036769293,920670.4125211672,1,1.0651039666644029,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
avx2_avx2-2x8-on16_into_SKEWED_255_1_256KiB/iter,avx2_avx2-2x8-on16_into_SKEWED_255_1_256KiB,iter,iter,unknown,unknown,0,1,1,224233.7350868486,223776.18142382943,1523.1672926298963,223353.7770287821,224189.12811092343,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
avx2_avx2-2x8-on16_into_SKEWED_255_1_64KiB/iter,avx2_avx2-2x8-on16_into_SKEWED_255_1_64KiB,iter,iter,unknown,unknown,0,1,1,54000.92324029126,53768.5977256687,523.0693922296078,53632.69946716063,53922.06690688001,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
avx2_avx2-2x8-on16_into_UNIFORM256_1MiB/iter,avx2_avx2-2x8-on16_into_UNIFORM256_1MiB,iter,iter,unknown,unknown,1048576,1,1,1050951.650945627,1051721.682210208,8427.788086086086,1049398.4603387946,1054031.218193986,1,0.9292173423214161,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
avx2_avx2-2x8-on16_into_UNIFORM256_256KiB/iter,avx2_avx2-2x8-on16_into_UNIFORM256_256KiB,iter,iter,unknown,unknown,0,1,1,266323.8318181818,265585.44243270915,1529.4083059170805,265149.8802510062,265994.32360353955,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
avx2_avx2-2x8-on16_into_UNIFORM256_64KiB/iter,avx2_avx2-2x8-on16_into_UNIFORM256_64KiB,iter,iter,unknown,unknown,0,1,1,65844.98484848485,66024.07820704578,386.0376160914186,65920.48562742263,66131.56865912133,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
avx2_avx2-hardware-gather-8way_into_SKEWED_255_1_64KiB/avx2-hw-gather,avx2_avx2-hardware-gather-8way_into_SKEWED_255_1_64KiB,avx2-hw-gather,avx2-hw-gather,unknown,unknown,0,1,1,88982.89644230768,89058.7930898755,248.51490949777383,88996.65111906633,89132.31015312886,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
avx2_avx2-manual-gather-8way_into_SKEWED_255_1_64KiB/avx2-manual-gather,avx2_avx2-manual-gather-8way_into_SKEWED_255_1_64KiB,avx2-manual-gather,avx2-manual-gather,unknown,unknown,0,1,1,87689.2324929972,87768.81039127894,239.10313855537672,87708.95786455827,87839.36596588633,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
avx2_avx2-uniform256-tablefree-16way_into_UNIFORM256_1MiB/avx2-uniform256,avx2_avx2-uniform256-tablefree-16way_into_UNIFORM256_1MiB,avx2-uniform256,avx2-uniform256,unknown,unknown,1048576,1,1,698168.3663461539,696567.915393525,4803.225572276752,695200.7033977123,697831.3925688929,1,1.398749280364584,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
batch_avx2-batch4-on16_aggregate_SKEWED_255_1_4x1MiB/avx2-batch4-into,batch_avx2-batch4-on16_aggregate_SKEWED_255_1_4x1MiB,avx2-batch4-into,avx2-batch4-into,unknown,unknown,1048576,1,1,3777907.363063661,3729428.738422541,120478.07008970129,3695033.033634547,3760640.057758569,1,0.2584929714126355,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
batch_avx2-seq-2x8_decode_SKEWED_255_1_4x1MiB/avx2-2x8-sequential-4x,batch_avx2-seq-2x8_decode_SKEWED_255_1_4x1MiB,avx2-2x8-sequential-4x,avx2-2x8-sequential-4x,unknown,unknown,1048576,1,1,3660309.2666666666,3663165.11240037,10846.192605088305,3660490.082544226,3666551.9880070584,1,0.26679781101921096,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
batch_avx2-seq-2x8_into_SKEWED_255_1_4x1MiB/avx2-2x8-sequential-into-4x,batch_avx2-seq-2x8_into_SKEWED_255_1_4x1MiB,avx2-2x8-sequential-into-4x,avx2-2x8-sequential-into-4x,unknown,unknown,1048576,1,1,4030430.497126437,3985051.24273708,129090.24043465368,3948136.282432048,4019024.509668577,1,0.24229731803991078,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
batch_scalar-sequential_decode_SKEWED_255_1_4x1MiB/sequential-scalar-4x,batch_scalar-sequential_decode_SKEWED_255_1_4x1MiB,sequential-scalar-4x,sequential-scalar-4x,unknown,unknown,1048576,1,1,2343603.1282679737,2343959.006678217,1364.335526222333,2343605.515814189,2344355.9382828926,1,0.4166927788331307,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
batch_scalar-sequential_decode_UNIFORM256_4x1MiB/sequential-scalar-4x,batch_scalar-sequential_decode_UNIFORM256_4x1MiB,sequential-scalar-4x,sequential-scalar-4x,unknown,unknown,1048576,1,1,2533673.3045537104,2533664.6460008835,1220.7034310678869,2533344.752059081,2534016.7297452013,1,0.38543347251788446,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
dispatch_cpu-detection_overhead/avx2-available,dispatch_cpu-detection_overhead,avx2-available,avx2-available,unknown,unknown,0,1,1,0.23892247776186057,0.23880040377497852,0.0003371935642421704,0.23873475873542352,0.23886582567902143,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
dispatch_cpu-detection_overhead/avx512vl-available,dispatch_cpu-detection_overhead,avx512vl-available,avx512vl-available,unknown,unknown,0,1,1,0.23835247030955883,0.23836613528479889,0.00006560253256798957,0.23835352991312703,0.2383792622138146,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
dispatch_model-classification_overhead/uniform256-detection_skewed,dispatch_model-classification_overhead,uniform256-detection_skewed,uniform256-detection_skewed,unknown,unknown,0,1,1,1.3400544862118229,1.3953208457861717,0.08796725144766239,1.378448486382895,1.4127117960196234,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
dispatch_model-classification_overhead/uniform256-detection_uniform,dispatch_model-classification_overhead,uniform256-detection_uniform,uniform256-detection_uniform,unknown,unknown,0,1,1,105.98046948761257,105.98986025118109,0.055706691396881766,105.97963913560264,106.0013016829438,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
dispatch_safe-wrapper_overhead/avx2-2x8-safe-checked,dispatch_safe-wrapper_overhead,avx2-2x8-safe-checked,avx2-2x8-safe-checked,unknown,unknown,0,1,1,3810.3487653195953,3810.582347750483,1.344594403666404,3810.324295564468,3810.848339256849,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
dispatch_safe-wrapper_overhead/avx2-2x8-unsafe-direct,dispatch_safe-wrapper_overhead,avx2-2x8-unsafe-direct,avx2-2x8-unsafe-direct,unknown,unknown,0,1,1,3073.2621790115127,3068.926434638996,13.153236897125906,3066.2670958041595,3071.3526642725733,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
