benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
r64_r64-decode_FREQ1_RESIDUAL_1KiB/iter,r64_r64-decode_FREQ1_RESIDUAL_1KiB,iter,iter,unknown,unknown,0,1,1,3215.2004101469893,3215.7398959916936,2.98191143122864,3215.207419551673,3216.366053943949,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_FREQ1_RESIDUAL_1MiB/iter,r64_r64-decode_FREQ1_RESIDUAL_1MiB,iter,iter,unknown,unknown,0,1,1,3326147.833333333,3326477.090666668,2684.0810821461837,3325998.273683334,3327043.6839500014,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_FREQ1_RESIDUAL_256B/iter,r64_r64-decode_FREQ1_RESIDUAL_256B,iter,iter,unknown,unknown,0,1,1,809.7321389201226,810.0830587151011,1.575769867812985,809.813832331182,810.4263526623922,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_FREQ1_RESIDUAL_4KiB/iter,r64_r64-decode_FREQ1_RESIDUAL_4KiB,iter,iter,unknown,unknown,0,1,1,12882.315403668495,12883.18065126943,7.021353121882111,12881.818773367344,12884.555175312567,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_FREQ1_RESIDUAL_64B/iter,r64_r64-decode_FREQ1_RESIDUAL_64B,iter,iter,unknown,unknown,0,1,1,206.17262067242712,206.17847082723733,0.1874305952766012,206.1431069066632,206.2163554449101,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_FREQ1_RESIDUAL_64KiB/iter,r64_r64-decode_FREQ1_RESIDUAL_64KiB,iter,iter,unknown,unknown,0,1,1,206278.58809523808,206201.20980479915,692.7464690191615,206047.78017004905,206308.95075334425,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_INCOMPRESSIBLE_LIKE_1KiB/iter,r64_r64-decode_INCOMPRESSIBLE_LIKE_1KiB,iter,iter,unknown,unknown,0,1,1,3642.5455069124423,3643.502662300768,3.94670788638281,3642.7577808132887,3644.2973290608934,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_INCOMPRESSIBLE_LIKE_1MiB/iter,r64_r64-decode_INCOMPRESSIBLE_LIKE_1MiB,iter,iter,unknown,unknown,0,1,1,3485816.4000000004,3485999.718000001,1144.3047668751492,3485777.821616668,3486225.0774166663,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_INCOMPRESSIBLE_LIKE_256B/iter,r64_r64-decode_INCOMPRESSIBLE_LIKE_256B,iter,iter,unknown,unknown,0,1,1,912.1458029368708,912.4490436650684,1.653942992242962,912.1296064401522,912.7732327956916,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_INCOMPRESSIBLE_LIKE_4KiB/iter,r64_r64-decode_INCOMPRESSIBLE_LIKE_4KiB,iter,iter,unknown,unknown,0,1,1,13830.974836503376,13832.168004130435,5.824752057000737,13831.062899097184,13833.337174183394,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_INCOMPRESSIBLE_LIKE_64B/iter,r64_r64-decode_INCOMPRESSIBLE_LIKE_64B,iter,iter,unknown,unknown,0,1,1,217.68356749865808,217.7416011853649,0.4579975584377658,217.66296454020136,217.839921299748,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_INCOMPRESSIBLE_LIKE_64KiB/iter,r64_r64-decode_INCOMPRESSIBLE_LIKE_64KiB,iter,iter,unknown,unknown,0,1,1,218703.3368421053,218634.70271105747,686.9278175295709,218482.10452611747,218748.1783425141,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_PRIME_RESIDUE_1KiB/iter,r64_r64-decode_PRIME_RESIDUE_1KiB,iter,iter,unknown,unknown,0,1,1,3358.931255712928,3359.3976710522256,2.1393506137802545,3359.019028338275,3359.851811360502,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_PRIME_RESIDUE_1MiB/iter,r64_r64-decode_PRIME_RESIDUE_1MiB,iter,iter,unknown,unknown,0,1,1,3433325.8,3433409.3126666658,744.5973118304743,3433265.2850666675,3433556.7984666685,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_PRIME_RESIDUE_256B/iter,r64_r64-decode_PRIME_RESIDUE_256B,iter,iter,unknown,unknown,0,1,1,846.1985686469231,848.8564368410819,4.790033312336661,847.9564564396153,849.8276561669965,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
r64_r64-decode_PRIME_RESIDUE_4KiB/iter,r64_r64-decode_PRIME_RESIDUE_4KiB,iter,iter,unknown,unknown,0,1,1,13414.16379467942,13414.726108706598,4.122820931530298,13413.96377027425,13415.57255094596,1,0,5fdea8e27a1646246b683afeb0d6961dacdba53a,pass
