benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
byte-rans/byte-decode/FREQ1_RESIDUAL/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,3188.028960176991,3188.1768828241325,0.8489944747326409,3187.699288655359,3188.6906350616314,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,3285182.595238095,3285005.6329365075,621.2765471729243,3284635.2310644845,3285366.782936508,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,814.7607132351991,814.7470265669019,0.3609194361548589,814.5348889936486,814.9572307574565,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,12860.25616197183,12812.00231660798,78.20755265800912,12763.907281396714,12856.208083546067,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,197.31952590684463,197.38770778082676,0.2041138126074045,197.2707030590432,197.5103548484806,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,204125.43352059924,204128.32607744783,35.73029029131052,204108.22063600188,204150.1031661316,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,3590.5755213142234,3590.255578255531,1.0086840281340097,3589.656788132249,3590.83873400871,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,3729069.703333333,3727993.465432539,4243.650854843319,3725169.3987843255,3729924.8916413696,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,891.3009322826083,891.3104871233097,0.3090323418843659,891.1256214186451,891.4903502675353,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,14555.301020749666,14555.356545164785,3.6836071504793098,14553.193205138014,14557.50615971824,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,218.90392177048392,218.929914559612,0.22720747431471733,218.79732064541065,219.06446845544457,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,233329.875,233356.29518696576,97.02233140397908,233304.02149572648,233417.02702043272,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/PRIME_RESIDUE/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,3603.676556730865,3603.631108457953,0.9947641438170708,3603.037513792465,3604.2089242246047,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/PRIME_RESIDUE/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,3726996.0757142855,3726819.6950039687,1671.527841262348,3725806.7729761912,3727755.581491766,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/PRIME_RESIDUE/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,914.5475314790692,912.766214094361,4.73170727984517,909.8286057477148,915.332102119524,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/PRIME_RESIDUE/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,14360.241365621278,14361.524635153784,4.689154443954721,14359.058262916124,14364.543207385776,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/PRIME_RESIDUE/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,222.10770827841247,222.11373336484328,0.19248723135299323,221.99277525128576,222.21977049615344,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/PRIME_RESIDUE/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,232981.9066239316,232999.47762057383,127.84135967349332,232925.39905933305,233075.5953525641,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/RENORM_BOUNDARY/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,3251.662960625188,3251.358043489773,2.075600526333094,3250.147508916942,3252.5731553093738,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/RENORM_BOUNDARY/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,3319677.4318181816,3322294.8966919193,5302.982709564498,3319418.840911615,3325564.5617424245,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/RENORM_BOUNDARY/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,816.9844584286805,817.0270341723874,0.9929596761191012,816.4554961098398,817.615030425248,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/RENORM_BOUNDARY/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,13148.783221499429,13150.441045020973,13.522831702222016,13142.616351407813,13158.38554782109,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/RENORM_BOUNDARY/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,204.80948996692933,205.42710051194615,1.1885967094047274,204.7656766501388,206.17204660628704,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/RENORM_BOUNDARY/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,207494.97761904763,207617.57935170067,315.0697006863339,207462.9536425,207826.61953906465,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/SKEWED_255_1/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,3188.3578071463535,3187.789027949094,1.4231113571485894,3186.9023099229075,3188.558475330396,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/SKEWED_255_1/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,3314748.0568181816,3314724.456078644,354.30317939108147,3314516.712127526,3314931.033459596,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
byte-rans/byte-decode/SKEWED_255_1/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,0,1,1,795.5087418829357,795.4931860794363,0.13813663545467258,795.4079210038257,795.5705381870837,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
