benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
parallel/decode/cold-executor/16threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,0,16,1,22968024.9625,22984514.423611112,91625.5554431578,22934622.93135417,23041570.799999997,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/decode/cold-executor/16threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,0,16,16,34888184.875,34678885.10809524,422858.9484631588,34420181.14333333,34910881.239598215,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,0,1,1,22945872.68125,22954246.950218253,76932.7445989614,22914405.213249996,23003102.262140874,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,0,1,1,93831885.33333334,93811819.66666666,102078.97774048892,93753556.41166668,93872828.46666668,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,0,2,1,22947959.23125,22943770.66418651,66410.55049923017,22908621.297531743,22985336.026603177,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,0,2,2,60515672.57142857,60571940.44706348,184514.89715933523,60467492.961498015,60682939.79484127,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,0,4,1,22930388.58482143,22943897.9280754,68416.14922290362,22908782.98321429,22987792.99904762,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,0,4,4,43624919.75,43616008.49793651,97567.89173130492,43558615.09766865,43673997.696666665,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,0,8,1,22938518.82142857,22948159.86928571,71236.07538465559,22910392.45596429,22992991.375952385,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,0,8,8,36190264.6,36156266.749087304,180772.6410234839,36047340.9870635,36259136.83003373,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/encode/cold-executor/16threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,0,16,16,31416343.74375,31405253.93882937,163311.44965907754,31308857.89771826,31500043.74804911,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/encode/cold-executor/1threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,0,1,1,152256707.25,152266868.5,227507.10186180024,152136580.22125,152404136.1,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/encode/cold-executor/2threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,0,2,2,82394928.16666666,82558326.96666667,432714.8698929024,82313338.1175,82816600.53333333,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/encode/cold-executor/4threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,0,4,4,48232809.7,48393421.62087302,813989.7404413659,47962961.287857145,48915034.33675,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/encode/cold-executor/8threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,0,8,8,34644423.7,34766019.41920635,642928.1881074961,34415417.94446825,35172005.09883333,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/verify/cold-executor/16threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,0,16,16,10416689.208333332,10392841.255664682,63270.69821361796,10354972.265860865,10428987.345566468,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/verify/cold-executor/1threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,0,1,1,92214567.16666666,92238062.43333332,97329.4858369521,92197105.53666666,92302734.6,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/verify/cold-executor/2threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,0,2,2,46264428.35714286,46302311.2461508,136308.1587483157,46240876.98646726,46392478.84194444,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/verify/cold-executor/4threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,0,4,4,23274051.75,23271256.83625,38847.03675386594,23249349.39,23294885.9405,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
parallel/verify/cold-executor/8threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,0,8,8,13436110.016666666,13421516.689841269,154386.1221737034,13322508.751662696,13502654.175666666,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
