benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,0,1,1,875728.0547297298,875056.3787140712,4048.205239380988,872358.0884319496,876788.1954215465,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,0,1,1,210085.5928104575,209575.043974738,1421.2371923213595,208698.18835880273,210364.4395653919,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,0,1,1,49843.56360808709,49725.32744519736,338.9051622312752,49516.129925016656,49913.432624500114,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,0,1,1,799968.7517857143,799079.0759613096,4692.273495093973,795942.2930368304,801183.9849613095,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,0,1,1,199383.42001488095,198977.89252728177,1266.1786815787948,198184.15845833335,199661.16652083336,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,0,1,1,49803.87683747412,49650.36437801932,341.39039291195206,49440.48317805383,49839.60077726018,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,0,1,1,911808.4305019304,911049.2058676534,4318.223663942997,908157.2179182756,912893.4307475332,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,0,1,1,222710.10147011824,222394.36914003408,936.5635240303976,221787.36910434644,222875.1404389049,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,0,1,1,53613.51760953965,53561.16565294615,236.6248812529205,53412.006667459,53687.50289638466,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
avx2/avx2-2x8-on16/into/UNIFORM256/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,0,1,1,1049237.7555803573,1049497.4764285714,992.6991574900748,1048942.1577306548,1050102.1192219122,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
avx2/avx2-2x8-on16/into/UNIFORM256/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,0,1,1,262061.26049868768,261536.07071959757,1325.3415409160757,260617.3804024497,262193.6903608924,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
avx2/avx2-2x8-on16/into/UNIFORM256/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,0,1,1,65657.83863485753,65704.89021324433,546.5516263255753,65389.50771655781,66021.23888417115,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
avx2/avx2-hardware-gather-8way/into/SKEWED_255_1/64KiB/avx2-hw-gather,avx2,avx2-hardware-gather,avx2-hardware-gather,avx2-hardware-gather-8way,unknown,0,1,1,89204.76363636364,89222.1431046176,313.8013616248904,89040.88213419914,89404.70405900072,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
avx2/avx2-manual-gather-8way/into/SKEWED_255_1/64KiB/avx2-manual-gather,avx2,avx2-manual-gather,avx2-manual-gather,avx2-manual-gather-8way,unknown,0,1,1,87922.33803418803,87943.65167908018,299.1917505992721,87771.26861200144,88118.31965628816,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
avx2/avx2-uniform256-tablefree-16way/into/UNIFORM256/1MiB/avx2-uniform256,avx2,avx2-uniform256,avx2-uniform256,avx2-uniform256-tablefree-16way,unknown,0,1,1,698982.9492753623,698477.4293995859,4546.1788454036405,695431.2083857402,700571.4427691512,10,0,01ccfd92705cca6e48bc7fab7ef5d76f8de90234,pass
