benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
r64/r64-decode/FREQ1_RESIDUAL/1KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,0,1,1,3220.684498271958,3221.2758842701364,2.2555837487227715,3220.030722582497,3222.6740362926057,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
r64/r64-decode/FREQ1_RESIDUAL/1MiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,0,1,1,3325684.527777778,3326406.5048412704,2297.574584620688,3325135.276197691,3327828.344002525,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
r64/r64-decode/FREQ1_RESIDUAL/256B/iter,r64,r64-decode,r64-decode,r64-decode,unknown,0,1,1,808.8586070060207,809.1884795147305,2.139037759068221,808.1384275875101,810.604602755949,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
r64/r64-decode/FREQ1_RESIDUAL/4KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,0,1,1,12886.03294969783,12885.391083024397,8.079180341924653,12880.64093342136,12890.100835407038,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
r64/r64-decode/FREQ1_RESIDUAL/64B/iter,r64,r64-decode,r64-decode,r64-decode,unknown,0,1,1,205.45005960427105,205.462574891468,0.2383300693401376,205.3201948119838,205.59941768347147,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
r64/r64-decode/FREQ1_RESIDUAL/64KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,0,1,1,206393.67400568185,206405.140842803,113.56651907503468,206340.66452651512,206473.98263541667,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,0,1,1,3644.484644345838,3648.751045712557,13.447673579585814,3644.149305259418,3657.4043776052167,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,0,1,1,3483637.6454545455,3483625.7513852813,447.5357952924703,3483358.3858008655,3483882.1151515148,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/256B/iter,r64,r64-decode,r64-decode,r64-decode,unknown,0,1,1,912.7510197798816,912.483448050171,1.2657271316499317,911.7331943128108,913.2140936620788,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,0,1,1,13748.145286963132,13747.93029106562,3.924057273330561,13745.697848177711,13750.287577684116,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
