benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,0,1,1,569179.31328125,569216.8474150546,326.71355869909604,569050.9508370536,569431.8210417597,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,0,1,1,138279.288973384,138285.41961056791,27.685729679695857,138269.734014632,138302.05337859856,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,0,1,1,34007.035722637986,34019.44732694107,35.641335451479264,34004.95325052619,34043.07490255691,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,0,1,1,1090174.0392156865,1089110.209868114,2784.6469162584344,1087413.2196881126,1090686.8165805908,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,0,1,1,193015.22442680775,193311.58932056773,1385.561562052277,192587.7597345889,194191.8803728899,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,0,1,1,39205.57767600575,39208.666910363645,20.02797807601641,39198.06284632423,39221.52043724557,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,0,1,1,572354.98828125,572375.6885968501,230.97840831369584,572247.31631977,572517.9979129464,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,0,1,1,142214.07861328125,142592.981812376,682.3065913194648,142233.28982289342,143029.59489397323,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,0,1,1,35655.67236519608,35659.1026267118,12.688438025218344,35652.191553804856,35666.99538815554,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
scalar/scalar-16way/allocating/SKEWED_255_1/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,0,1,1,582450.3655913979,582554.1897919866,325.4817241966702,582386.2974508929,582764.3004032258,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
scalar/scalar-16way/allocating/SKEWED_255_1/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,0,1,1,141996.12354085603,142138.06058041504,331.97938190168776,141977.88070606356,142353.50816796365,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
scalar/scalar-16way/allocating/SKEWED_255_1/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,0,1,1,35155.751368760066,35158.143491833456,11.34405358321379,35151.671200828154,35164.962351915114,10,0,d6188ef9dd09af3e628b3c42b59830d6b5c73e0d,pass
