benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
parallel/decode/cold-executor/16threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,16,1,22873808.98550725,22897294.17930782,116772.63219227522,22858568.58884621,22940527.883267995,30,0.6830956754906862,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
parallel/decode/cold-executor/16threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,16,16,35024160.40357143,35022047.881548256,476643.0861396041,34851663.8048336,35185919.88031522,30,1.7844824623869315,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,1,1,23126059.62,23117023.89595096,163663.18571654684,23058855.241626516,23174479.10480002,30,0.6756447166852024,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,1,1,94024643.625,94059340.30833334,397221.1966414125,93924228.01833336,94202695.76708332,30,0.6647193500596478,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,2,1,23188548.846153848,23226657.262082167,192761.64004434977,23161481.07018507,23296849.343971,30,0.6738239681864193,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,2,2,60576117.166666664,60676591.61666667,358967.53711151984,60556013.075277776,60807996.56791666,30,1.03175975819051,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,4,1,22960845.83004926,23001235.2605778,148068.7056180985,22951524.558168072,23055449.431433383,30,0.6805062895179275,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,4,4,43800117.5,43896464.90833333,451914.4893820732,43762339.435625,44076142.57625,30,1.42693681129965,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,8,1,23137852.416666664,23145257.586658143,258517.6597620984,23055410.052147523,23236762.84341684,30,0.675300357121519,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,8,8,37258725.52796053,37289584.05930296,490272.1135770193,37114669.39477269,37459782.55636281,30,1.6774594169383852,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
parallel/encode/cold-executor/16threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,16,16,30827775.057971016,30886910.752545983,623482.0664696175,30669723.68217737,31109200.45564113,30,2.027392501809488,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
parallel/encode/cold-executor/1threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,1,1,151727641.6666667,151966768.61111113,983998.068938042,151650885.07888892,152340170.60388887,30,0.41192230574114785,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
parallel/encode/cold-executor/2threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,2,2,82625549.5,82700466.80833334,714475.5267270076,82456257.38875,82958052.57958333,30,0.7564246214181002,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
parallel/encode/cold-executor/4threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,4,4,49389215.21428572,49473648.11428573,457041.562161052,49315142.74583333,49636231.318333335,30,1.2654584554306103,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
parallel/encode/cold-executor/8threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,8,8,33727488.87916666,34030456.167814374,935726.1858201982,33714328.77618558,34371249.31512691,30,1.8530878543586446,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
