benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
r64/r64-decode/FREQ1_RESIDUAL/1KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,1024,1,1,3211.340709904828,3214.722991634944,10.382872416904956,3212.8834496033464,3216.925752735944,100,0.2969707678368743,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/FREQ1_RESIDUAL/1MiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,1048576,1,1,3326808.7666666666,3331726.639333334,15102.963248982682,3329036.872216668,3334899.2044000006,100,0.29354332289393287,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/FREQ1_RESIDUAL/256B/iter,r64,r64-decode,r64-decode,r64-decode,unknown,256,1,1,808.3246290766022,808.7313605539525,1.8333609927279004,808.4258560820821,809.131193970903,100,0.29495399561673924,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/FREQ1_RESIDUAL/4KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,4096,1,1,12861.906392308989,12872.250696546947,33.69782106498039,12866.28170472922,12879.323659911384,100,0.29658879090475015,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/FREQ1_RESIDUAL/64B/iter,r64,r64-decode,r64-decode,r64-decode,unknown,64,1,1,206.05227254855703,206.4759730024147,0.8821010533127033,206.3103027407404,206.6537549041095,100,0.28926953359053376,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/FREQ1_RESIDUAL/64KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,65536,1,1,206110.72237982665,206124.9921093557,622.7231495561477,205989.37949818175,206236.1579637194,100,0.29612800122801325,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,1024,1,1,3656.050198275007,3672.0037460166577,30.827649313432072,3666.2755893573744,3678.304069855148,100,0.26084825554534546,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,1048576,1,1,3506831.8214285714,3521216.9950000006,22014.94019108182,3516997.304678572,3525573.554250002,100,0.27847428953755177,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/256B/iter,r64,r64-decode,r64-decode,r64-decode,unknown,256,1,1,922.2046252057122,925.0750437659494,7.0443516163160025,923.748510132513,926.4959148479328,100,0.2585311031685397,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,4096,1,1,13924.553272682566,13996.113939916037,148.3649951689607,13969.033651780244,14026.87704527225,100,0.2739547324012714,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/64B/iter,r64,r64-decode,r64-decode,r64-decode,unknown,64,1,1,221.6019629360335,221.53387779208128,3.2765872580421824,220.93055871287007,222.21005880077803,100,0.26897164621504643,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/64KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,65536,1,1,219188.37753496505,219863.17868775324,1745.697371974191,219518.2722702696,220199.2770375117,100,0.27845982043579676,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/PRIME_RESIDUE/1KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,1024,1,1,3396.769086241102,3383.132595504748,26.23018233920726,3377.9980929861144,3388.231180358737,100,0.28075924273721986,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/PRIME_RESIDUE/1MiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,1048576,1,1,3431127.966666667,3446788.070666667,98633.02919906224,3434014.0335333305,3468655.3785500014,100,0.28461850140457695,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/PRIME_RESIDUE/256B/iter,r64,r64-decode,r64-decode,r64-decode,unknown,256,1,1,856.5673728267292,857.4244514523061,4.445195748997525,856.5939478690963,858.3362804161375,100,0.27834188724088965,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/PRIME_RESIDUE/4KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,4096,1,1,13423.885484622557,13434.400025547166,46.09732152252295,13426.60275944072,13444.39108102686,100,0.28417236350793107,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/PRIME_RESIDUE/64B/iter,r64,r64-decode,r64-decode,r64-decode,unknown,64,1,1,213.10662907002808,213.81378182199256,1.6657805642888752,213.50346984789292,214.153719056171,100,0.27969399654763527,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/PRIME_RESIDUE/64KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,65536,1,1,214497.05992647057,214453.359508908,713.185004027312,214299.69065879108,214573.65594407907,100,0.2845500832082398,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/RENORM_BOUNDARY/1KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,1024,1,1,3226.175107685811,3227.5998633788777,9.692026072998518,3225.9364008218436,3229.71073562397,100,0.2956052553174451,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/RENORM_BOUNDARY/1MiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,1048576,1,1,3338241.1875,3333998.0675,27963.141092853948,3328721.225375,3339590.877203125,100,0.2925380298034562,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/RENORM_BOUNDARY/256B/iter,r64,r64-decode,r64-decode,r64-decode,unknown,256,1,1,823.8169013734065,823.5783224042359,3.9152456861262217,822.8088315039726,824.3356389390979,100,0.28940724413894486,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/RENORM_BOUNDARY/4KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,4096,1,1,12867.761724386724,12872.700452775862,38.915047617859145,12866.855240475732,12881.552788524794,100,0.2964538314690318,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
r64/r64-decode/RENORM_BOUNDARY/64B/iter,r64,r64-decode,r64-decode,r64-decode,unknown,64,1,1,202.27138623088155,203.26987495982567,2.2554800575415213,202.85688976616305,203.73152248198505,100,0.29467660199527795,583c59f38921d290c515fa0c8eab5ab54cebce83,pass
