benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
alias/alias-decode/FREQ1_RESIDUAL/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1024,1,1,4010.5427780678456,3996.382425789978,31.291900639464405,3990.183704883519,4002.422148933199,100,0.23779183247253644,5457d81bc2bef742348a070594b06482235e768f,pass
alias/alias-decode/FREQ1_RESIDUAL/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1048576,1,1,4192635.1666666665,4183854.911666667,27325.45863090471,4178407.943749998,4189026.553416667,100,0.23292331938731772,5457d81bc2bef742348a070594b06482235e768f,pass
alias/alias-decode/FREQ1_RESIDUAL/256B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,256,1,1,990.2811303454414,994.4009890161392,8.386742415674915,992.8315389967912,996.1018988633092,100,0.24075847938089517,5457d81bc2bef742348a070594b06482235e768f,pass
alias/alias-decode/FREQ1_RESIDUAL/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,4096,1,1,15842.049583723168,15866.912600055615,82.43530740236272,15851.906017612897,15883.932805244742,100,0.2407956903218123,5457d81bc2bef742348a070594b06482235e768f,pass
alias/alias-decode/FREQ1_RESIDUAL/64B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,64,1,1,240.70028690891925,240.12081642619663,1.7912748528207043,239.76909805981637,240.4674826845391,100,0.2476301359704858,5457d81bc2bef742348a070594b06482235e768f,pass
alias/alias-decode/FREQ1_RESIDUAL/64KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,65536,1,1,254452.9162226776,255778.16861537108,2242.61192079287,255350.05637689843,256223.19933311947,100,0.23986817347609696,5457d81bc2bef742348a070594b06482235e768f,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1024,1,1,4830.411763460465,4831.575923889637,13.907714139460728,4828.880413655355,4834.312509344972,100,0.19743126737565037,5457d81bc2bef742348a070594b06482235e768f,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1048576,1,1,4483997.375,4484807.100833334,7390.926198361481,4483372.419958333,4486257.110874999,100,0.21778837459734238,5457d81bc2bef742348a070594b06482235e768f,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/256B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,256,1,1,1075.085428530204,1075.6061279537578,7.236499505884596,1074.4937608173796,1077.235939619121,100,0.221767101268887,5457d81bc2bef742348a070594b06482235e768f,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,4096,1,1,17745.555653089887,17747.710539027987,34.673858587525075,17741.357585964266,17754.878833830942,100,0.21496634651509366,5457d81bc2bef742348a070594b06482235e768f,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/64B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,64,1,1,261.618647577179,263.06984840953345,6.790376915853722,262.1265231809463,264.61209594892654,100,0.22783026105892135,5457d81bc2bef742348a070594b06482235e768f,pass
