benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
alias/alias-decode/FREQ1_RESIDUAL/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1024,1,1,3954.416845053227,3977.324532550992,39.577234410483925,3969.954699095187,3985.4335972346366,100,0.24116686575398535,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/FREQ1_RESIDUAL/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1048576,1,1,4132161,4132231.689999999,5495.541350666937,4131187.720711536,4133323.836846152,100,0.23633215162719942,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/FREQ1_RESIDUAL/256B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,256,1,1,988.2955293003184,988.5222362154216,1.7682094758279732,988.2203442205652,988.9038557125452,100,0.24124219126070034,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/FREQ1_RESIDUAL/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,4096,1,1,15830.493448490506,15833.460355126772,21.703340900622745,15829.443191901766,15837.944419193647,100,0.24097146927461982,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/FREQ1_RESIDUAL/64B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,64,1,1,237.3217073410291,238.0267441870049,2.102100075279848,237.6489390579821,238.4628137937184,100,0.2511554692708295,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/FREQ1_RESIDUAL/64KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,65536,1,1,254180.70247175143,254218.06021093487,423.8103681310906,254142.73175720812,254307.4375548108,100,0.24012505928447966,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1024,1,1,4821.544568231333,4820.32058692361,8.954145339722157,4818.56713688244,4822.056880045745,100,0.1977943588222565,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1048576,1,1,4486772.708333334,4486601.905833335,5271.62510903566,4485574.3345625,4487623.292375002,100,0.2176536596530106,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/256B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,256,1,1,1078.8834046748748,1085.8720997974626,18.50894787558344,1082.535185557,1089.7005566439798,100,0.2209864180582245,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,4096,1,1,17765.64228422619,17879.72846652458,212.70855789378925,17841.47312257188,17924.51482906882,100,0.2147232959323967,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/64B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,64,1,1,263.74516671402864,264.62671462876995,3.426977613775367,263.9898082990995,265.3260447796524,100,0.22599331588896276,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/64KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,65536,1,1,280880.17228132393,280996.522270035,728.9885352927815,280870.99009279016,281152.5596028447,100,0.21729962551029913,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/PRIME_RESIDUE/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1024,1,1,4333.632217635522,4334.819102347034,9.650668961796343,4333.333613842305,4336.999761396804,100,0.22006350989484416,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/PRIME_RESIDUE/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1048576,1,1,4495618,4484283.455833333,34279.855168453585,4477709.356500002,4491018.071312499,100,0.21722541817387508,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/PRIME_RESIDUE/256B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,256,1,1,1084.6327184209022,1088.6221580839413,9.502548457876854,1086.874792908226,1090.571217839318,100,0.21981503512882403,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/PRIME_RESIDUE/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,4096,1,1,17336.861707894215,17336.089091511007,19.118495236458216,17332.46716929919,17339.909983211965,100,0.22003389828552447,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/PRIME_RESIDUE/64B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,64,1,1,259.4509123449818,259.9806351949327,3.2020449703036595,259.5534783873845,260.7083759772115,100,0.22973380296360893,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/PRIME_RESIDUE/64KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,65536,1,1,277338.76246075355,277491.096733489,782.5815826732401,277352.6837612716,277654.9159697066,100,0.22007438018562997,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/RENORM_BOUNDARY/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1024,1,1,3992.7544044405886,3996.898966818065,19.314067759481905,3993.450795326151,4000.957433977335,100,0.23885123396160055,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
alias/alias-decode/RENORM_BOUNDARY/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1048576,1,1,4093577.076923077,4095046.934615384,11140.836495256648,4092904.3595,4097250.7545192298,100,0.2385596952614435,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
