benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
parallel/decode/cold-executor/16threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,16,1,23077050.233333334,23070446.038448147,102075.88150860246,23034450.223064415,23106213.169860665,30,0.6770796025494922,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
parallel/decode/cold-executor/16threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,16,16,34718627.557575755,34537062.562188946,434864.6585513072,34379235.64364725,34684674.541414954,30,1.8001863667091365,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,1,1,22809656.757142857,22832610.67964148,67433.77355822345,22809951.84668662,22857475.14670774,30,0.6850168841364533,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,1,1,93443927.5,93561689.58333331,448723.70225509926,93408631.584375,93724105.49583334,30,0.668850311327079,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,2,1,22822858.11923077,22864232.8273448,114592.80699509912,22827230.008067764,22907477.875548016,30,0.6846206517331069,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,2,2,60175434.41666667,60106383.39444444,303996.18552034214,59995852.298194446,60209831.92569443,30,1.0386298097532223,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,4,1,22820478.839869283,22839564.650056157,66898.87205791356,22816627.34389174,22863686.495775446,30,0.6846920307693903,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,4,4,43407566.3125,43415320.19166667,97721.25670095056,43381229.773125,43450076.665104166,30,1.4398411454364808,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,8,1,22836532.852941178,22910525.3219594,159616.6946617796,22856432.549943887,22968675.075797133,30,0.6842106943562414,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,8,8,36272190.23850575,36187152.12006808,232793.67813774064,36102799.06723465,36265894.66759108,30,1.7230831551399228,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
