benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,876607.1799628942,875156.9619314283,5414.861888502713,873604.0691212756,876600.0783279189,50,1.1140252125716525,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,210449.86651785715,210040.01690287885,1275.633513124387,209680.82677699163,210377.5878041176,50,1.1600892366414692,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,49258.84387475595,49513.61404972223,377.0976127337383,49412.92211343117,49619.01171436091,50,1.239070011573681,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,797953.9805194805,796319.9559207014,5550.335973422388,794783.7795845495,797814.1967498612,50,1.2238331079747764,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,199647.13538359787,199248.68735482503,1448.8486837604275,198838.3173971556,199636.18383709007,50,1.2228606462642866,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,49158.01394980507,49311.96437510709,321.0878308202632,49228.67631450752,49403.904005878125,50,1.241611516533654,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,914580.1423793598,912895.2922134908,5367.01850722513,911378.4080623402,914326.490305822,50,1.067771379181039,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,223570.05625,223231.83720469425,1764.143157928377,222745.2044538496,223714.40969039328,50,1.0920094984768336,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,53733.57476823126,53491.93467781124,380.25177261445685,53385.4912116085,53594.194430748124,50,1.1358849008885528,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
avx2/avx2-2x8-on16/into/UNIFORM256/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,1046819.828245614,1045411.9770083552,5251.54541839861,1043948.5085431264,1046833.3781648468,50,0.9328849852191283,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
avx2/avx2-2x8-on16/into/UNIFORM256/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,262113.58306277057,262020.379073103,578.2169818374975,261848.7174736215,262160.95513256395,50,0.9314306498245593,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
avx2/avx2-2x8-on16/into/UNIFORM256/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,65582.09608230644,65550.06962466709,189.34254775033585,65494.22344929069,65597.2249881533,50,0.9306679703161672,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
avx2/avx2-hardware-gather-8way/into/SKEWED_255_1/64KiB/avx2-hw-gather,avx2,avx2-hardware-gather,avx2-hardware-gather,avx2-hardware-gather-8way,unknown,65536,1,1,88929.1485576923,89019.49659812351,283.4165390107588,88949.77563823738,89104.60005360963,50,0.6863346522473874,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
avx2/avx2-manual-gather-8way/into/SKEWED_255_1/64KiB/avx2-manual-gather,avx2,avx2-manual-gather,avx2-manual-gather,avx2-manual-gather-8way,unknown,65536,1,1,87671.69865064014,87789.75233948776,288.06920978306266,87715.87762915516,87872.93358464722,50,0.6961785523651919,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
avx2/avx2-uniform256-tablefree-16way/into/UNIFORM256/1MiB/avx2-uniform256,avx2,avx2-uniform256,avx2-uniform256,avx2-uniform256-tablefree-16way,unknown,1048576,1,1,696440.165752924,695869.7539464207,3283.807868590127,694915.2719724877,696706.1866098449,50,1.4022202452155164,cbb6166dd4746e24c26daf116378bf2f95cb36bb,pass
