benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
alias/alias-decode/FREQ1_RESIDUAL/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1024,1,1,3950.363295598745,3950.5689917980776,2.8576610883187024,3950.027562180146,3951.139271831994,100,0.24141433206125018,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/FREQ1_RESIDUAL/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1048576,1,1,4128237.269230769,4129482.26923077,5528.111942017454,4128462.340480768,4130621.7600769233,100,0.23655677624895013,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/FREQ1_RESIDUAL/256B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,256,1,1,988.3367397818074,988.3182800691648,0.7555962789757741,988.1720392614088,988.4673331353182,100,0.24123213223278292,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/FREQ1_RESIDUAL/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,4096,1,1,15831.14638024013,15833.046193850045,20.05310075535484,15829.6354805725,15837.396174088148,100,0.2409615307698985,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/FREQ1_RESIDUAL/64B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,64,1,1,237.14052596486033,237.16276110080588,0.32225489089507586,237.10171449184148,237.2277307641041,100,0.2513473584191295,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/FREQ1_RESIDUAL/64KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,65536,1,1,254185.86285282255,254236.7539638527,329.8852298788273,254177.7321148815,254305.76060084003,100,0.2401201843602934,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1024,1,1,4823.839543364516,4826.607418116314,16.523619149345986,4823.42238650536,4829.885930975537,100,0.19770025678364175,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1048576,1,1,4484392.041666667,4484725.410833334,6160.229792842585,4483536.315812503,4485936.728166668,100,0.21776920726963275,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/256B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,256,1,1,1074.8638261119731,1078.6108753288452,10.289009797233716,1076.7020047517835,1080.721560145112,100,0.22181282252653037,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,4096,1,1,17744.11617063492,17742.316309836242,19.971595541843826,17738.398834843694,17746.196912824715,100,0.21498378555129255,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/64B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,64,1,1,261.13917191722487,262.00869831191534,2.2196347726460557,261.6006817702435,262.465988500812,100,0.2282485784793862,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/64KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,65536,1,1,280822.74265657354,280889.49083007063,541.6651496021717,280796.319970208,281006.18233531766,100,0.21734406434681716,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/PRIME_RESIDUE/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1024,1,1,4336.102021976934,4336.077926287578,4.631289042066505,4335.182301511613,4336.97871632145,100,0.21993816371770852,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/PRIME_RESIDUE/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1048576,1,1,4441619.25,4441722.878333334,5496.858183997474,4440645.931979166,4442793.8236874975,100,0.21986632465175845,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/PRIME_RESIDUE/256B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,256,1,1,1084.0693395601484,1084.0480369177858,1.0449030633226934,1083.8460902215684,1084.2541983602869,100,0.21992927057442538,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/PRIME_RESIDUE/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,4096,1,1,17339.79005056952,17341.44988040076,18.64115614000093,17337.86198831147,17345.140207228076,100,0.21999673897433997,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/PRIME_RESIDUE/64B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,64,1,1,259.8232244607759,260.64743575936495,2.0375550362738597,260.2710584657557,261.0676121948968,100,0.22940460730210363,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/PRIME_RESIDUE/64KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,65536,1,1,277454.21279761905,277524.5528322774,501.3086244545019,277437.89070812805,277631.88678269787,100,0.21998280593605668,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/RENORM_BOUNDARY/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1024,1,1,4035.1033086734697,4037.503606064991,18.406715879348884,4034.103874472981,4041.246962680712,100,0.2363444609599768,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/RENORM_BOUNDARY/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1048576,1,1,4092135.9615384615,4092680.738461538,11553.096238403012,4090446.918365385,4094950.095346154,100,0.23864370812177407,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/RENORM_BOUNDARY/256B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,256,1,1,993.9548138557328,994.463555635418,2.7953074641337237,993.9393713506676,995.024314279394,100,0.23986862961777222,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/RENORM_BOUNDARY/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,4096,1,1,15991.62224170173,15998.17699512954,47.59163272566829,15989.365898567528,16007.858632763066,100,0.23854348282923565,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/RENORM_BOUNDARY/64B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,64,1,1,240.811114858632,240.82669848544705,0.637238620022331,240.7031240037112,240.9529171906883,100,0.24751616971825194,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/RENORM_BOUNDARY/64KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,65536,1,1,255948.31798701297,255939.0863728817,685.7884257461992,255806.62755804777,256073.37236269112,100,0.23846672144607325,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/SKEWED_255_1/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1024,1,1,3958.43476702509,3958.238983864827,2.9315858374431865,3957.6737883668065,3958.8158987029697,100,0.24092207464188464,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/SKEWED_255_1/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1048576,1,1,4155790.692307692,4155925.5576923103,3260.0868585895546,4155298.438250002,4156565.4094615383,100,0.23498837460885671,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/SKEWED_255_1/256B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,256,1,1,983.4437294738988,983.5440255928128,0.9671429055214112,983.365541772324,983.7403991028272,100,0.24243235475110148,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
alias/alias-decode/SKEWED_255_1/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,4096,1,1,15905.12914598842,15903.508182397722,11.366707724746878,15901.246860376768,15905.687996352945,100,0.23984069733801192,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
