benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
byte-rans/byte-decode/FREQ1_RESIDUAL/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3189.7040268227875,3190.0664166709385,2.302377377857805,3189.6552800289337,3190.546669336409,100,0.2989852062720031,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1048576,1,1,3285506.78125,3285602.47875,903.2986072792118,3285437.7436562497,3285788.907625,100,0.2972334452551208,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,256,1,1,803.7152405124486,803.0201922638531,2.284390313783148,802.6059559571559,803.4972658220851,100,0.29664558674978825,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,4096,1,1,12726.224247049246,12727.307474198204,8.156674360425537,12725.811989683354,12728.983501467304,100,0.29975090738397847,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,64,1,1,196.32964813800655,196.71945491796657,1.1541900840861006,196.52296099725993,196.9737587469541,100,0.3035947211268497,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,65536,1,1,204346.30311850313,204303.25614617424,293.54265005096846,204237.95471793416,204350.4629903833,100,0.2986849055674127,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3587.392187750521,3587.4179611721584,3.2213898302430195,3586.8134938941,3588.07481963357,100,0.26584055115653604,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1048576,1,1,3729562.3928571423,3729474.786428573,1517.9267504451598,3729181.8919821423,3729773.2955714306,100,0.2618437224351877,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,256,1,1,892.7892668060633,893.4336726447322,1.5912169252906558,893.1349549282696,893.7552002229523,100,0.2670491099814634,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,4096,1,1,14637.226171350892,14638.087291850135,6.75142805714344,14636.816881840732,14639.45442170308,100,0.2606161318386553,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,64,1,1,218.65904819554945,218.64943078274175,0.1616338028411941,218.61758985285613,218.6808713192653,100,0.2725917142110921,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,65536,1,1,233266.37405405403,233262.24253663688,136.44740300278465,233234.44864152832,233287.729095574,100,0.26165432757940726,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/PRIME_RESIDUE/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3629.85904196459,3630.150687793586,1.9197150031124408,3629.810382189333,3630.5542871171447,100,0.26273039955019645,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/PRIME_RESIDUE/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1048576,1,1,3687264,3687155.775,1311.1920765287298,3686899.486089285,3687410.9950178578,100,0.2648474587119338,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/PRIME_RESIDUE/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,256,1,1,911.1748539105564,911.3431468134348,0.6134178605074126,911.2283842372487,911.4670198889294,100,0.2616606220840313,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/PRIME_RESIDUE/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,4096,1,1,14384.444616385346,14384.9044086851,5.429429629075027,14383.885072849982,14385.998878143784,100,0.26519600633587703,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/PRIME_RESIDUE/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,64,1,1,217.8954481266171,217.8979824493599,0.19991196262846656,217.86053394820584,217.93826611023775,100,0.27354699369743096,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/PRIME_RESIDUE/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,65536,1,1,230371.69661411215,230385.6495260781,159.0948391921251,230353.83195755508,230416.29183309656,100,0.2649420790273465,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/RENORM_BOUNDARY/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3253.2815943526175,3253.537438252454,4.466569727728082,3252.683533280483,3254.427416333355,100,0.2931422592073605,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/RENORM_BOUNDARY/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1048576,1,1,3320309.8,3320359.4160000016,3160.3181434007533,3319749.663066666,3320983.2917500013,100,0.2941178862285682,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/RENORM_BOUNDARY/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,256,1,1,817.7913181267521,817.6570510461623,0.9555938639531466,817.4726697259694,817.8450398973556,100,0.291539630975404,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/RENORM_BOUNDARY/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,4096,1,1,14345.23606035709,14346.501608672974,18.27169328960269,14343.065578695296,14350.155963328498,100,0.26592084295962726,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/RENORM_BOUNDARY/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,64,1,1,202.88474639811193,202.93429014613935,0.23384901514152745,202.8892239088131,202.98046449684023,100,0.2937857371417712,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/RENORM_BOUNDARY/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,65536,1,1,207755.3012172401,207746.55746884568,342.8989323152138,207680.25278822103,207814.40648536524,100,0.2937838692557759,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/SKEWED_255_1/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3182.9594533828385,3183.122088355559,1.8885808549932936,3182.7632381128533,3183.501723117284,100,0.29961874487363893,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/SKEWED_255_1/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1048576,1,1,3324395.6666666665,3331057.1513333325,14372.918148532312,3328364.4788000006,3333947.3208499993,100,0.29375639903272643,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/SKEWED_255_1/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,256,1,1,794.1003834724681,794.1572216783602,0.5291795496469697,794.0625991289517,794.2682214178353,100,0.30023733027176985,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/SKEWED_255_1/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,4096,1,1,12780.037974191997,12781.827668800535,8.726845416982755,12780.144279134716,12783.553995197835,100,0.2984887269762733,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/SKEWED_255_1/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,64,1,1,199.3813479268969,199.3749163650625,0.13854748319063345,199.34855677023629,199.40291548801324,100,0.298947947714972,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/SKEWED_255_1/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,65536,1,1,208110.64571022725,208700.7892794735,1090.3384719394917,208489.52066125255,208916.41404430033,100,0.29328223955916793,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
byte-rans/byte-decode/SPARSE_17/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3429.647488883737,3429.6864328124566,2.4600722004174695,3429.212733475492,3430.173841087209,100,0.27806773713547067,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
