benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
parallel/decode/cold-executor/16threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,16,1,22805042.612179488,22948536.27495915,214585.3088045209,22875841.531591658,23025872.045195457,30,0.6851554836233964,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/decode/cold-executor/16threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,16,16,34716024.011764705,34529908.64638595,443010.1051182576,34368208.67421991,34678568.48333742,30,1.8003213725978457,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,1,1,22816990.6,22953629.203344937,210225.34993212545,22881538.45196565,23029675.934826832,30,0.6847967058372719,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,1,1,92999329,93120078.58333331,297344.9286227158,93017480.954375,93225809.52291667,30,0.6720478596141269,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,2,1,22807838.37651822,22957723.79499011,215605.74692492612,22884511.767570134,23035771.593617935,30,0.6850714978797245,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,2,2,60118137.75,60103634.8111111,192729.74459083192,60035466.40833333,60170712.123333335,30,1.039619694473986,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,4,1,22810278.751923077,22958004.152356308,212401.01909779015,22885546.57049879,23034327.308774885,30,0.684998204972953,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,4,4,43450476.4375,43462326.329166666,90936.07860317324,43430735.181354165,43494731.34885417,30,1.4384192101990227,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,8,1,22802470.052083336,22944509.432415254,215315.59261955527,22870988.731456857,23022226.84035585,30,0.6852327824271138,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,8,8,36122884.61752137,36001706.227229916,373402.399396181,35866531.621671,36127989.49906037,30,1.7302051223695585,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/encode/cold-executor/16threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,16,16,31002676.715,30984374.184138417,236333.03714959737,30898983.71736169,31064882.565111972,30,2.01595496332614,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/encode/cold-executor/1threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,1,1,151848622.3333333,152084843.61111107,593670.8857238486,151892853.04694444,152306839.30416662,30,0.41159411945669133,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/encode/cold-executor/2threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,2,2,82081087.125,82183464.275,320049.06119339436,82075754.82583334,82299569.14666668,30,0.7614421566422449,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/encode/cold-executor/4threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,4,4,48182873.35714285,48152200.59523808,389268.4037634761,48015172.73047619,48288603.63023809,30,1.297141404098822,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/encode/cold-executor/8threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,8,8,33172746.06190476,33104583.205427814,598521.0055452134,32898095.789002288,33316485.51297198,30,1.8840767623930406,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/verify/cold-executor/16threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,16,16,9986793.226666668,9973469.372940488,85747.42170612345,9942377.879116444,10002886.562039692,30,6.258265148928178,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/verify/cold-executor/1threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,1,1,91918396,91929590.74166666,210891.3370814916,91856314.65395834,92003770.79083332,30,0.6799509425730188,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/verify/cold-executor/2threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,2,2,46129586.375,46142772.520833336,64755.03872082082,46120401.43333333,46165565.678125,30,1.3548788296500305,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
parallel/verify/cold-executor/4threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,4,4,23120953.603846155,23130190.088857543,40028.575024685226,23116265.21698409,23144362.91729294,30,2.703175702476353,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
