benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,878020.4519557822,876002.6823299201,4872.7115896031,874622.4045191199,877298.97424112,50,1.1122320645546653,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,209579.5467249657,209134.80562985584,1069.9455402649735,208839.82751528,209425.3324229027,50,1.1649067326230518,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,49720.58774675324,49587.01251566853,285.1436897260251,49509.368155744494,49665.07953550792,50,1.227563048145697,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,797128.0212585034,795440.3544003783,5574.066666552196,793912.5946088019,796975.1375069718,50,1.2251012057739559,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,198552.63540031397,198078.71469578616,1355.5657591301872,197714.43345758293,198453.7207032187,50,1.2296015336576789,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,49581.5154040404,49433.58740285274,265.6664527689808,49360.94349239091,49506.06175909214,50,1.2310062682155585,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,913379.2416603004,911661.8928884788,5202.497062437193,910222.4589398518,913079.0135188034,50,1.0691752729401294,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,222462.0180087471,221952.70225992816,1073.270269965568,221656.68983927605,222244.39522518255,50,1.097448576549371,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,53417.27847274086,53306.53906382291,266.90775947299346,53233.23563395948,53380.10753946034,50,1.1426107430977899,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
avx2/avx2-2x8-on16/into/UNIFORM256/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,1052603.244040017,1051000.7405660667,5182.612705137388,1049531.9031382042,1052373.8704811996,50,0.9277593485764271,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
avx2/avx2-2x8-on16/into/UNIFORM256/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,263017.2192523178,263000.1249984035,564.169724076766,262836.1935249036,263144.6849103471,50,0.928230576287064,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
avx2/avx2-2x8-on16/into/UNIFORM256/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,65829.57476286773,65816.28679573987,157.25901151919132,65770.03544638905,65855.90874436921,50,0.9271692316084639,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
avx2/avx2-hardware-gather-8way/into/SKEWED_255_1/64KiB/avx2-hw-gather,avx2,avx2-hardware-gather,avx2-hardware-gather,avx2-hardware-gather-8way,unknown,65536,1,1,88979.86229174866,89074.04327632806,192.8526499235994,89023.24324539184,89128.84825423337,50,0.685943478422982,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
avx2/avx2-manual-gather-8way/into/SKEWED_255_1/64KiB/avx2-manual-gather,avx2,avx2-manual-gather,avx2-manual-gather,avx2-manual-gather-8way,unknown,65536,1,1,87706.05882352941,87822.25807265722,205.6540098318468,87767.75760274049,87880.65792110856,50,0.6959058139051363,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
avx2/avx2-uniform256-tablefree-16way/into/UNIFORM256/1MiB/avx2-uniform256,avx2,avx2-uniform256,avx2-uniform256,avx2-uniform256-tablefree-16way,unknown,1048576,1,1,697051.6231060605,694828.1497089235,5918.367456813046,693133.3073395218,696401.4183014545,50,1.400990210234989,efb064d3e5cfac3212571ab98fec62f079cfb098,pass
