benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
alias/alias-decode/FREQ1_RESIDUAL/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1024,1,1,3949.123227272727,3948.989146603752,3.1740544650830307,3948.366259027052,3949.6044762095457,100,0.2414901388288305,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
alias/alias-decode/FREQ1_RESIDUAL/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1048576,1,1,4127614.384615385,4127680.985384616,2782.86321843353,4127141.712923078,4128224.4358653855,100,0.23659247424853544,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
alias/alias-decode/FREQ1_RESIDUAL/256B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,256,1,1,987.7120868044592,987.7731464193132,0.7745001295352147,987.6230183095812,987.926399468203,100,0.2413846932590621,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
alias/alias-decode/FREQ1_RESIDUAL/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,4096,1,1,15837.470463064452,15837.780726357489,9.24018832021748,15835.995718807508,15839.597579668169,100,0.24086531207881284,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
alias/alias-decode/FREQ1_RESIDUAL/64B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,64,1,1,236.99871354481024,237.07264077222905,0.3412655591608705,237.00961347099215,237.1424163595485,100,0.2514977566075309,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
alias/alias-decode/FREQ1_RESIDUAL/64KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,65536,1,1,254250.163272794,254264.28331764237,293.2653219402762,254213.1425726272,254326.83751579907,100,0.24005945744275972,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1024,1,1,4851.4583075335395,4850.131378191115,16.31042366202037,4846.893324203398,4853.2659265585235,100,0.19657477318218858,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,1048576,1,1,4486719.166666666,4486274.239166665,5590.416694749985,4485178.920104165,4487369.292625002,100,0.21765625699402108,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/256B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,256,1,1,1075.5074548547027,1077.0665751686718,5.97752522285871,1075.9237433042972,1078.2449760990094,100,0.2216800804358646,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,4096,1,1,17745.842948717946,17747.169734028736,17.26458418479902,17743.841208709982,17750.530715705554,100,0.2149628663258622,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/64B/iter,alias,alias-decode,alias-decode,alias-decode,unknown,64,1,1,264.4819173118253,264.08364929086474,2.671293473001206,263.5735939789347,264.61664611429626,100,0.22536378056090878,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/64KiB/iter,alias,alias-decode,alias-decode,alias-decode,unknown,65536,1,1,280869.7141739675,280954.6120188942,645.4593434949816,280841.83654782164,281092.6157794768,100,0.21730771660270753,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
