benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
byte-rans/byte-decode/FREQ1_RESIDUAL/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3188.99185683371,3189.3919225620916,3.181387662611471,3188.872786946976,3190.107691903721,100,0.2990519760540045,8401991,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1048576,1,1,3288480.375,3288773.353125,1545.525933950579,3288477.859015625,3289078.139390625,100,0.2969646732345179,8401991,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,256,1,1,804.8138541563205,804.924716851174,0.5860843905420513,804.8151502410794,805.0444688959785,100,0.2962406497729772,8401991,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,4096,1,1,12722.221509896584,12722.527925131792,4.762663741336819,12721.60691572891,12723.463008416746,100,0.29984521670665426,8401991,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,64,1,1,196.5788761923729,196.5593673295512,0.1548433516711771,196.52921445179112,196.58963013895792,100,0.30320981546898906,8401991,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,65536,1,1,204291.64880636605,204276.08119629204,328.11514892286937,204205.3466419052,204332.06438693032,100,0.29876481298484703,8401991,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3622.493402276736,3615.8804449691247,34.78244568012638,3610.1419716133014,3623.567084753918,100,0.26326461100160076,8401991,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1048576,1,1,3731535.8571428577,3739202.760714286,15857.163274298093,3736225.297321428,3742409.474553571,100,0.2617052434671575,8401991,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,256,1,1,889.894460633346,893.1478631919814,4.614201201237354,892.255648947233,894.0559056983303,100,0.2679178145820549,8401991,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,4096,1,1,14538.39081801875,14539.516363437257,9.683723907751451,14537.85538100745,14541.6284260947,100,0.2623878607594658,8401991,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,64,1,1,222.87642657077032,222.92478607479643,0.48063792023579577,222.83944838213273,223.02566151484595,100,0.2674335984854112,8401991,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,65536,1,1,233349.58318922512,233344.73214994065,94.089281985654,233326.15370248083,233362.80155655128,100,0.26156102537584597,8401991,pass
