benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
parallel/decode/cold-executor/16threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,16,1,22827665.825,22848328.711998224,49968.0499112791,22831646.168833904,22866859.074398205,30,0.6844764646452852,8401991,pass
parallel/decode/cold-executor/16threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,16,16,34646285.36437247,34498556.0310583,452498.8898245063,34333471.21122381,34652027.9389214,30,1.8039451947789507,8401991,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,1,1,22820623.451923076,22853126.731784113,60987.6807664833,22832638.90196142,22875480.059554517,30,0.6846876919431092,8401991,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,1,1,92898482.875,92928776.15,193677.18227631765,92863088.03541666,92999392.12208334,30,0.672777402447973,8401991,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,2,1,22809632.083333336,22828985.029326,50179.15909367956,22812204.354196697,22847422.813581213,30,0.685017625138152,8401991,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,2,2,60125682.5,60116706.78333333,134268.7815856553,60069085.65763887,60163159.89472222,30,1.0394892398934514,8401991,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,4,1,22813265.789473683,22832124.481737766,49411.70587592939,22815792.888820596,22850512.483381517,30,0.684908515255609,8401991,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,4,4,43399923.875,43395875.50416667,67872.94478050325,43371758.71927084,43419620.62083334,30,1.4400946918711617,8401991,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,8,1,22814586.105042014,22832373.590980746,49315.09113065638,22816014.304797366,22850545.87055172,30,0.684868878534986,8401991,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,8,8,36135190.316017315,36078409.31325503,274001.48566738394,35980669.83990534,36172523.01158533,30,1.7296159077456468,8401991,pass
parallel/encode/cold-executor/16threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,16,16,31358462.04751131,31363853.1149819,317650.85266416054,31252374.74937063,31474726.827858925,30,1.993082438332149,8401991,pass
parallel/encode/cold-executor/1threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,1,1,152109556.6666667,152172563.66666663,474198.4894805333,152016566.49083334,152349093.16000003,30,0.4108880557515704,8401991,pass
parallel/encode/cold-executor/2threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,2,2,82148137.625,82277588.48333333,459565.59626720863,82125992.23083332,82449569.75104167,30,0.7608206565230698,8401991,pass
parallel/encode/cold-executor/4threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,4,4,48611322.64285715,48527475.12380953,420853.3292260886,48378947.07666666,48675030.454523824,30,1.2857086909397974,8401991,pass
parallel/encode/cold-executor/8threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,8,8,33360132.18965517,33480261.5356959,505703.89342517016,33304417.04299513,33659147.93303959,30,1.8734937752848888,8401991,pass
parallel/verify/cold-executor/16threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,16,16,9991326.99013158,9976025.46037832,82619.98269324172,9945597.271231337,10003835.631241277,30,6.255425336567522,8401991,pass
parallel/verify/cold-executor/1threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,1,1,91829757.25,91819543.05,84715.56041470022,91790052.816875,91849622.16083331,30,0.6806072657891078,8401991,pass
parallel/verify/cold-executor/2threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,2,2,46093750.25,46097528.0875,54797.13339453792,46078252.19739584,46116623.1375,30,1.3559321960356219,8401991,pass
parallel/verify/cold-executor/4threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,4,4,23152765.125,23156660.52593879,56645.27791335491,23137704.473794226,23177585.72419481,30,2.6994615832090596,8401991,pass
parallel/verify/cold-executor/8threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,8,8,12963459.712121213,12976693.607672893,159820.4469368458,12922926.54375473,13035555.920645315,30,4.8212438182347785,8401991,pass
