benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,880872.549062049,879244.6355119945,5552.367114347596,877721.6505830027,880794.0626617285,50,1.1086308695166416,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,211369.3646449704,210859.94346144865,1099.1629140614093,210555.42160264525,211156.93013750823,50,1.1550426212903386,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,50075.79585418404,49931.78985598185,300.84657928339544,49850.48412887401,50015.00264771726,50,1.2188554412141261,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,797597.9167098781,795767.602355707,5604.966343851036,794215.8728207918,797302.2289094807,50,1.2243794517773539,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,198525.89021164025,197901.5956543169,1091.5592217705107,197600.316985854,198196.98839479996,50,1.229767184218299,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,49603.8957210815,49454.393650734,272.9610553997133,49379.06118982775,49529.30142304594,50,1.2304508620289727,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,919547.1891774893,917744.6853953564,5225.122264164017,916289.5581887084,919168.283711866,50,1.0620036812613276,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,223734.624150778,223347.37283062292,1216.1086240721522,223013.8722949808,223680.1659243756,50,1.0912062713881518,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,53781.16141779789,53630.97079094855,270.73730892141253,53555.64493923956,53705.17164286355,50,1.1348798471615291,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
avx2/avx2-2x8-on16/into/UNIFORM256/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,1049933.5856259968,1048216.7816680268,5262.443265755192,1046737.7610806584,1049620.5355656084,50,0.930118355455549,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
avx2/avx2-2x8-on16/into/UNIFORM256/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,262192.3325757576,262116.88408413745,586.8559954817348,261940.7525617316,262261.8391222006,50,0.9311508944658337,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
avx2/avx2-2x8-on16/into/UNIFORM256/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,65629.33105335158,65593.87679459946,187.3063622478716,65537.7010721848,65640.10845005374,50,0.9299981467186239,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
avx2/avx2-hardware-gather-8way/into/SKEWED_255_1/64KiB/avx2-hw-gather,avx2,avx2-hardware-gather,avx2-hardware-gather,avx2-hardware-gather-8way,unknown,65536,1,1,89097.40854978355,89199.1160158468,196.78982800681436,89147.54630976255,89254.88516010498,50,0.6850385128305538,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
avx2/avx2-manual-gather-8way/into/SKEWED_255_1/64KiB/avx2-manual-gather,avx2,avx2-manual-gather,avx2-manual-gather,avx2-manual-gather-8way,unknown,65536,1,1,88277.3473063973,88311.532907836,434.2293628629552,88193.98851649134,88432.08686728813,50,0.6914022465826506,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
avx2/avx2-uniform256-tablefree-16way/into/UNIFORM256/1MiB/avx2-uniform256,avx2,avx2-uniform256,avx2-uniform256,avx2-uniform256-tablefree-16way,unknown,1048576,1,1,703396.4526874436,700652.7952612602,6242.677045575215,698861.0708404474,702272.323159103,50,1.3883528929793147,84019910d8868b03c6f38b9e8cc607ada713c4fc,pass
