benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
parallel/decode/cold-executor/16threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,16,1,22839207.094444446,22855202.6992322,49794.860202652584,22838911.287375752,22873852.85966784,30,0.6841305801636487,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/decode/cold-executor/16threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,16,16,34685183.26518218,34506232.99009332,404501.45441564266,34359212.37380931,34641751.81475884,30,1.8019221499325042,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,1,1,22854047.280555554,22867344.949214164,66580.20909106862,22845336.246684045,22891929.840697464,30,0.6836863426502973,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,1,1,92969604.375,93029607.08333331,250035.72133425993,92947453.8825,93123303.984375,30,0.6722627295250336,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,2,1,22835021.808035716,22857468.111357924,53864.07621050736,22839714.663595732,22877699.357204933,30,0.6842559701213647,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,2,2,60129655.5,60082954.98888889,258680.3348767732,59986408.91638888,60167605.63736112,30,1.0394205567999637,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,4,1,22833680.702614386,22918875.151575644,139772.5198909545,22871636.005173735,22969386.20437264,30,0.684296158972346,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,4,4,43318312.1875,43339175.38333333,108045.6662979912,43302447.1021875,43378245.334895834,30,1.4428078298497304,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,8,1,22873856.607085347,22927843.855615847,94981.05195478452,22895573.29992149,22962018.13169524,30,0.6830942533389862,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,8,8,36154212.36666667,36070842.152341835,258634.15762450313,35977052.418019086,36158541.810086146,30,1.7287058936906485,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/encode/cold-executor/16threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,16,16,30494673.16310161,30508960.58492698,202180.181706278,30438492.6907736,30581712.875688523,30,2.0495382805290947,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/encode/cold-executor/1threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,1,1,151806227.83333334,151895744.55555555,307353.7536958645,151791195.06222218,152007486.71555555,30,0.4117090641934544,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/encode/cold-executor/2threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,2,2,81820678.875,81844107.06666666,305484.1037536099,81741528.34583333,81956110.92875001,30,0.7638655760297858,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/encode/cold-executor/4threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,4,4,47568510.57142857,47548844.4952381,281216.9843847544,47448696.17845237,47645433.52238096,30,1.313894407228715,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/encode/cold-executor/8threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,8,8,32746809.332307693,32735618.520197734,433601.5013796082,32585134.76713227,32890965.128557894,30,1.908582890191323,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/verify/cold-executor/16threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,16,16,10062444.735576924,10053141.31869918,102026.78478351742,10018996.604110723,10090481.74774123,30,6.211214236936288,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/verify/cold-executor/1threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,1,1,91900967.5,91880765.58333331,90971.22640763504,91848901.86166666,91912976.48833331,30,0.6800798914331343,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/verify/cold-executor/2threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,2,2,46127332.5625,46130389.891666666,61384.5626066105,46109056.80583333,46152312.172604166,30,1.3549450299411079,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/verify/cold-executor/4threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,4,4,23129910.104166664,23128268.07856446,31378.670019911224,23117384.194962624,23139388.092240267,30,2.702128962824682,c43d61625a2c926480a700f24aeecdeea649a698,pass
parallel/verify/cold-executor/8threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,8,8,13002535.85595238,13065109.50045428,178343.55525178724,13008979.94690489,13132815.058511095,30,4.806754674042169,c43d61625a2c926480a700f24aeecdeea649a698,pass
