benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,877207.7053975437,875177.9279638455,5218.449518042285,873732.3855372876,876590.1621689588,50,1.1132625648305603,c43d61625a2c926480a700f24aeecdeea649a698,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,208969.72293447293,208473.0917636918,1086.6546334004354,208175.3153698082,208770.37492016665,50,1.1683062099697366,c43d61625a2c926480a700f24aeecdeea649a698,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,49688.9107017982,49555.73018233788,268.6684755419356,49481.83894756308,49629.38059156433,50,1.2283456285909522,c43d61625a2c926480a700f24aeecdeea649a698,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,845956.6234693878,844341.691937944,5074.29573071736,842927.4039835548,845713.074862746,50,1.1543883845899556,c43d61625a2c926480a700f24aeecdeea649a698,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,210519.28297658864,210003.20977265725,1043.0044456013609,209715.2109459687,210285.9451079959,50,1.1597067097513831,c43d61625a2c926480a700f24aeecdeea649a698,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,52671.23113247863,52537.56824146283,287.9889879600646,52459.759428862366,52617.71996066098,50,1.1587949424702915,c43d61625a2c926480a700f24aeecdeea649a698,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,914058.2864285714,912389.6171889124,5717.804870388576,910831.4099589592,913978.638642627,50,1.0683809933124138,c43d61625a2c926480a700f24aeecdeea649a698,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,222807.3942629277,222422.65411892664,1100.0240855673187,222121.08815493365,222723.56399525856,50,1.095747409136241,c43d61625a2c926480a700f24aeecdeea649a698,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,53570.22410007469,53457.46796477028,254.65837822737396,53387.758041329085,53527.25570989188,50,1.1393485331698454,c43d61625a2c926480a700f24aeecdeea649a698,pass
avx2/avx2-2x8-on16/into/UNIFORM256/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,1049051.9828548646,1047418.3225236844,4924.8524316568255,1046044.329764679,1048737.0048276577,50,0.9309000087320807,c43d61625a2c926480a700f24aeecdeea649a698,pass
avx2/avx2-2x8-on16/into/UNIFORM256/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,262102.39019138756,262011.41106239485,524.2607904942824,261849.44215281683,262135.11123825604,50,0.9314704258199559,c43d61625a2c926480a700f24aeecdeea649a698,pass
avx2/avx2-2x8-on16/into/UNIFORM256/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,65561.92289170777,65530.826600293054,184.1822690112133,65476.0026491485,65577.07470158527,50,0.9309543338259789,c43d61625a2c926480a700f24aeecdeea649a698,pass
avx2/avx2-hardware-gather-8way/into/SKEWED_255_1/64KiB/avx2-hw-gather,avx2,avx2-hardware-gather,avx2-hardware-gather,avx2-hardware-gather-8way,unknown,65536,1,1,88972.80990975935,89062.87658377203,181.5784341728016,89014.64975236834,89114.41103495391,50,0.685997849364372,c43d61625a2c926480a700f24aeecdeea649a698,pass
avx2/avx2-manual-gather-8way/into/SKEWED_255_1/64KiB/avx2-manual-gather,avx2,avx2-manual-gather,avx2-manual-gather,avx2-manual-gather-8way,unknown,65536,1,1,87702.01404741002,87819.10516447289,206.7337922328415,87764.31120583377,87877.70821231673,50,0.6959379087577804,c43d61625a2c926480a700f24aeecdeea649a698,pass
avx2/avx2-uniform256-tablefree-16way/into/UNIFORM256/1MiB/avx2-uniform256,avx2,avx2-uniform256,avx2-uniform256,avx2-uniform256-tablefree-16way,unknown,1048576,1,1,696896.6015909091,694691.2461988257,5283.233370504815,693176.6458398429,696061.7574912633,50,1.4013018542071465,c43d61625a2c926480a700f24aeecdeea649a698,pass
