benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
r64/r64-decode/FREQ1_RESIDUAL/1KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,1024,1,1,3215.2545746179285,3227.625486881006,27.3260307781434,3222.503463768219,3233.2014593431477,100,0.29660927129528336,d3e24065a93958f0ad5ff7f07124f3e12ff1f835,pass
r64/r64-decode/FREQ1_RESIDUAL/1MiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,1048576,1,1,3340859,3358209.7820000006,30395.633228456027,3352330.5993500007,3364166.8874333333,100,0.2923088044122784,d3e24065a93958f0ad5ff7f07124f3e12ff1f835,pass
r64/r64-decode/FREQ1_RESIDUAL/256B/iter,r64,r64-decode,r64-decode,r64-decode,unknown,256,1,1,810.3104488845931,813.1042219536108,7.584665085231126,811.6496545345532,814.6061219791225,100,0.29423115477500006,d3e24065a93958f0ad5ff7f07124f3e12ff1f835,pass
r64/r64-decode/FREQ1_RESIDUAL/4KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,4096,1,1,13121.024449612403,13073.156177953018,137.84803286559148,13046.330600645875,13100.05217322004,100,0.29073166354306174,d3e24065a93958f0ad5ff7f07124f3e12ff1f835,pass
r64/r64-decode/FREQ1_RESIDUAL/64B/iter,r64,r64-decode,r64-decode,r64-decode,unknown,64,1,1,211.3669335665348,210.78454596802732,2.162815905205881,210.3649220830712,211.2057975616136,100,0.2819960708595324,d3e24065a93958f0ad5ff7f07124f3e12ff1f835,pass
r64/r64-decode/FREQ1_RESIDUAL/64KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,65536,1,1,210560.6066666667,210500.03657612295,1941.7233407037372,210123.2230542868,210879.58766079188,100,0.28986977771498945,d3e24065a93958f0ad5ff7f07124f3e12ff1f835,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,1024,1,1,3674.8796649703136,3664.924654077077,40.11640477618576,3657.2314531951615,3672.853885225757,100,0.25951171285875396,d3e24065a93958f0ad5ff7f07124f3e12ff1f835,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,1048576,1,1,3543211,3532727.349285714,27930.8831663864,3527211.075196428,3538064.2284821416,100,0.2756151129582743,d3e24065a93958f0ad5ff7f07124f3e12ff1f835,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/256B/iter,r64,r64-decode,r64-decode,r64-decode,unknown,256,1,1,912.1521140501544,916.7685852662288,9.318259268436623,915.0107144771122,918.6312178742756,100,0.2613802845261543,d3e24065a93958f0ad5ff7f07124f3e12ff1f835,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,r64,r64-decode,r64-decode,r64-decode,unknown,4096,1,1,13825.667524821056,13896.480813719229,109.21583714677928,13875.555904556051,13918.036395670437,100,0.2759141472754585,d3e24065a93958f0ad5ff7f07124f3e12ff1f835,pass
