benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,878214.2416814552,876548.9612678889,5778.272503834641,874907.6132296328,878069.5948411173,50,1.111986635664487,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,210663.118158284,210105.95297074944,1390.569030215863,209708.03687867572,210468.8904307779,50,1.1589148928127149,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,49268.60244870305,49530.453687744906,373.3769966229757,49431.223473092505,49635.26485893932,50,1.2388245904386657,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,798862.0220588235,797173.9625853889,6020.690639339872,795513.6775620256,798814.0869982382,50,1.222442015059381,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,200053.64409722225,199594.06773269415,1622.3668014949517,199141.8857505934,200028.8426950002,50,1.2203757952109702,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,49221.120811287474,49500.40048822098,386.812876880174,49396.613678967806,49607.873082340775,50,1.2400196347419077,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,930636.2642021722,925252.2823946056,9553.960931564645,922542.878636614,927807.8992436336,50,1.0493492866809786,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,223593.30937979097,223262.3012819799,1970.8243405484125,222731.4708836056,223815.17397823263,50,1.0918959322942343,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,53802.3228021978,53576.43647185306,393.6740133431983,53467.21376427664,53682.30108129428,50,1.1344334792829194,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
avx2/avx2-2x8-on16/into/UNIFORM256/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,1048576,1,1,1050713.737424925,1050031.9995150133,4819.702883061574,1048644.0971855246,1051295.6644547065,50,0.9294277453660653,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
avx2/avx2-2x8-on16/into/UNIFORM256/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,262144,1,1,263310.92952712614,263293.04299441207,714.9772898967362,263080.0156498395,263470.4698405465,50,0.9271951811436251,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
avx2/avx2-2x8-on16/into/UNIFORM256/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,unknown,65536,1,1,65871.49920303604,65938.87443859196,374.3944030890752,65839.175819854,66045.43210886259,50,0.9265791273684395,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
avx2/avx2-hardware-gather-8way/into/SKEWED_255_1/64KiB/avx2-hw-gather,avx2,avx2-hardware-gather,avx2-hardware-gather,avx2-hardware-gather-8way,unknown,65536,1,1,90326.38253289474,90189.1201637594,538.1281495058626,90034.6715033732,90329.56737495192,50,0.67571793022678,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
avx2/avx2-manual-gather-8way/into/SKEWED_255_1/64KiB/avx2-manual-gather,avx2,avx2-manual-gather,avx2-manual-gather,avx2-manual-gather-8way,unknown,65536,1,1,88283.17442358701,88309.68298885188,667.8011900509966,88126.62150814394,88490.69562159573,50,0.691356610684957,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
avx2/avx2-uniform256-tablefree-16way/into/UNIFORM256/1MiB/avx2-uniform256,avx2,avx2-uniform256,avx2-uniform256,avx2-uniform256-tablefree-16way,unknown,1048576,1,1,696092.1636217949,695015.3519336727,4584.330102718851,693703.1622903227,696214.6047427111,50,1.402921266803101,50eaaeee664cf714cf1cc4fb1697de31f0749017,pass
