benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
byte-rans/byte-decode/FREQ1_RESIDUAL/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3185.0436494837995,3185.695623593731,2.8853220831866153,3185.169822890682,3186.2845057990107,100,0.29942268344134376,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1048576,1,1,3290383.5625,3290617.364375,1714.1410697063668,3290285.593890625,3290955.7215,100,0.2967929061917686,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,256,1,1,806.5499074576228,805.9952640193067,1.6158833673151225,805.6795551559456,806.3118464253893,100,0.2956030084401061,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,4096,1,1,12718.267389807164,12721.248888683198,18.43375195617149,12718.120559839152,12725.283678269005,100,0.2999384388381568,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,64,1,1,198.9038620177798,199.03795323710415,0.5528489249828678,198.9412497521156,199.1551357986744,100,0.2996655980971482,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,65536,1,1,204351.35516621743,204410.36081410377,291.6188657066696,204360.22191592932,204472.8674862826,100,0.29867752137173054,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3656.1986797417303,3656.096405469465,14.437949878699904,3653.186939434912,3658.82482818726,100,0.26083766226665134,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1048576,1,1,3736447.6428571423,3764207.747142856,34339.29976436904,3757600.569285714,3770912.811696428,100,0.2613612161451977,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,256,1,1,891.5254111855882,895.2038326774393,6.7088153488047615,893.9393293005908,896.5460678781154,100,0.2674276875456678,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,4096,1,1,14816.06040577512,14770.981961393498,114.17491454362188,14748.57123739337,14792.891415465738,100,0.25747041798898695,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,64,1,1,223.5354705556826,222.5582801334632,1.802699255533093,222.20174220052783,222.90329989714763,100,0.2666451307580876,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,65536,1,1,233374.7618099547,234234.21338937603,1674.5369934463513,233920.25562889833,234574.81734198524,100,0.2615328057611606,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
byte-rans/byte-decode/PRIME_RESIDUE/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3663.51708509085,3647.285748421834,30.03653588777525,3641.314991643175,3653.0426054920986,100,0.26031660130297996,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
