benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,1048576,1,1,572456.0288793104,572896.3944551732,3166.5496127144665,572286.5380983938,573520.9800312457,100,1.7059170499292384,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,262144,1,1,138201.17647058825,138219.82802659806,96.00372143792612,138202.09965611625,138239.46172672292,100,1.7665596721744088,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,65536,1,1,34037.20823327616,34187.585206494405,239.64348117223287,34142.22520696534,34235.19530731347,100,1.793189260167629,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,1048576,1,1,1126507.304131054,1125182.3734884954,10321.685402438114,1123149.0406080002,1127191.396952839,100,0.8668940684350769,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,262144,1,1,193932.2937720329,193058.0059807881,4622.773415114359,192139.27228633588,193953.2263000306,100,1.258896186145186,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,65536,1,1,39184.76506857804,39349.18523459024,292.0833216128723,39294.403761351445,39408.29240054007,100,1.5576246570109877,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,1048576,1,1,568859.094117647,570559.5769531005,4409.07002508952,569746.4903089197,571464.7155888085,100,1.716703679519686,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,262144,1,1,143186.80336330336,143514.93716871226,935.6485469001336,143336.64181600316,143702.254733155,100,1.7050497620269494,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,65536,1,1,36057.60078463203,36141.07004220688,295.2886554274141,36087.21174738118,36202.2436130639,100,1.6927126298434574,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/SKEWED_255_1/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,1048576,1,1,590860.6870586158,591545.2207823832,5609.596062544832,590475.8949688964,592653.7709515512,100,1.6527796169033682,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/SKEWED_255_1/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,262144,1,1,141972.64697030495,142536.71190422858,1232.8753803059517,142309.64802663832,142791.56903983132,100,1.7196314234464087,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/SKEWED_255_1/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,65536,1,1,35033.274314765695,35205.20907109449,373.85296897842153,35136.14941209287,35281.50835268371,100,1.7422053017829147,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/SPARSE_2/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,1048576,1,1,579729.6535299807,580221.5743878233,2283.643701466015,579795.7882638199,580681.9994834678,100,1.6845136246760875,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/SPARSE_2/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,262144,1,1,142972.83935613683,142989.64105148287,148.82680212173204,142962.06519150562,143019.90829460393,100,1.707601430449739,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/SPARSE_2/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,65536,1,1,36639.70087995798,36648.72128254705,184.9488626025092,36613.47912090421,36685.65968601725,100,1.6658202655629868,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/UNIFORM256/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,1048576,1,1,632228.028520115,633098.4417929847,3165.618771863658,632552.4429648216,633780.8074443649,100,1.5446365171216538,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/UNIFORM256/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,262144,1,1,157327.6391917293,157389.61990268106,140.4219733857572,157363.3499832934,157417.93578301062,100,1.5517974225906672,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/allocating/UNIFORM256/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,65536,1,1,39306.20613553113,39315.6035833904,35.273810909095246,39309.35454455005,39323.07611418176,100,1.552812195599484,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/into/FREQ1_RESIDUAL/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,1048576,1,1,688646.0471236231,672178.9996165711,38791.42369522066,664533.5093011381,679672.0257187773,100,1.4180906201073296,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
scalar/scalar-16way/into/FREQ1_RESIDUAL/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,262144,1,1,151037.59259259258,153156.75992477385,3627.8717371161983,152464.2846589546,153877.98899449856,100,1.6164229104110701,ee8fb0e19e20048b3145a179eb3567adfe4be734,pass
