benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
byte-rans/byte-decode/FREQ1_RESIDUAL/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3186.5625188764725,3199.138099864584,17.437501568606656,3195.7588131454454,3202.5430809080126,100,0.2992799641484829,6264b536da25ffbbeef0a5a704ff50898bf53407,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1048576,1,1,3318076.7333333334,3305997.128,17626.378718848173,3302500.0339333345,3309354.5159333325,100,0.2943158276568689,6264b536da25ffbbeef0a5a704ff50898bf53407,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,256,1,1,805.2466229952563,805.3122361662843,3.206801894726486,804.7073513305427,805.9493474793549,100,0.2960814392672927,6264b536da25ffbbeef0a5a704ff50898bf53407,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,4096,1,1,12731.720939205725,12743.954616651115,40.14307811337167,12736.914066847825,12752.48198362224,100,0.2996214953061154,6264b536da25ffbbeef0a5a704ff50898bf53407,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,64,1,1,201.13003536218844,200.66711838768407,1.1960230098936708,200.43534333787733,200.9019081043825,100,0.2963488007549768,6264b536da25ffbbeef0a5a704ff50898bf53407,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,65536,1,1,204456.9037181996,205243.41408152835,1110.05439562895,205028.3166490875,205461.44129295865,100,0.2985233324971212,6264b536da25ffbbeef0a5a704ff50898bf53407,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3593.828457146088,3594.4048022114225,5.383592695879838,3593.4602316005175,3595.5498654476364,100,0.26536445124695146,6264b536da25ffbbeef0a5a704ff50898bf53407,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1048576,1,1,3739442.25,3748903.8457142864,17326.08408198842,3745639.667178572,3752371.7466071434,100,0.2611519137646798,6264b536da25ffbbeef0a5a704ff50898bf53407,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,256,1,1,899.4927342141797,898.8502978786227,4.906600339305119,897.9017536616402,899.8085699270981,100,0.2650589271405857,6264b536da25ffbbeef0a5a704ff50898bf53407,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,4096,1,1,14709.14985238642,14670.727228892323,74.08564327244387,14655.95024954186,14684.929666411688,100,0.25934179091975884,6264b536da25ffbbeef0a5a704ff50898bf53407,pass
