benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
byte-rans/byte-decode/FREQ1_RESIDUAL/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3183.716066827271,3183.844602265059,1.7701251120123405,3183.51245260928,3184.2043428676734,100,0.29954754016636703,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1048576,1,1,3287577.21875,3289008.173125,6469.780787845582,3287906.64684375,3290401.46740625,100,0.2970462547405374,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,256,1,1,803.0192054099746,803.3674076492907,1.879898646092126,803.0034526582126,803.7368056789329,100,0.2969027110377017,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,4096,1,1,12720.958744469925,12722.467358920374,10.208270848022138,12720.696961862754,12724.66883038954,100,0.2998749813007083,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,64,1,1,196.2187855088556,196.22627599764277,0.11453724947692812,196.20527408709603,196.2498538721704,100,0.3037662506207928,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,65536,1,1,204243.38769863013,204285.63500631295,259.71732007014344,204243.1837868832,204342.7209302514,100,0.29883540876270615,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1024,1,1,3615.2762214523455,3616.065814326522,3.9321439014798503,3615.364995543934,3616.889964219734,100,0.26379016650161674,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,1048576,1,1,3728018.178571428,3727984.959285713,1372.6103260275866,3727725.2440714296,3728260.410875,100,0.2619521829623206,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,256,1,1,889.9300999687598,889.9650916164364,0.4518128683352155,889.8833815268523,890.0590951641423,100,0.26790708518560274,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,unknown,4096,1,1,14555.569328572776,14555.741017829512,7.2779605278663695,14554.393197902147,14557.24209558966,100,0.26207819010807765,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
