benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
model_cache/e2e/cold/1-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,unknown,16777216,1,1,53371460,53442167.9,295933.5155906618,53385869.2375,53501010.92575,100,0.2927594635784743,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/1-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,unknown,524288,1,1,973106.01625387,973528.6784792732,3729.111460966362,972813.7872395912,974265.029223236,100,0.5017760057426406,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/1-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,unknown,8388608,1,1,26105766,26117602.6,130011.81418745426,26092247.51175,26143338.453625,100,0.29926338878545067,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/1-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,unknown,131072,1,1,321665.06782945734,322742.2884419579,6196.6567027059955,321910.1143574559,324132.8898388493,100,0.37949508575398094,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/1-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,unknown,33554432,1,1,107245518,107319328.11,487764.2721414254,107225169.1435,107415760.6745,100,0.29138746851873104,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/1-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,unknown,2097152,1,1,3851065.615384615,3884283.9938461543,221609.26067871135,3841723.405288461,3928158.4987884606,100,0.5071648200948496,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/16-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,unknown,16777216,16,16,11572672.375,11592918.06,403576.3749695349,11514338.66075,11671744.44725,100,1.350163513982655,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/16-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,unknown,524288,16,16,478443.3276819923,479345.0874262743,4430.816585402613,478507.4908005584,480230.3076538091,100,1.0205623566027586,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/16-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,unknown,8388608,16,16,5734844.5,5734505.855,90316.2971012138,5717035.52921875,5752177.2541562505,100,1.3622862834380254,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/16-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,unknown,131072,16,16,267943.2996911337,268450.99562420434,3056.7778834541687,267878.9632323911,269074.4469974761,100,0.4555826275212484,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/16-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,unknown,33554432,16,8,26383854.75,26395617.66,834882.4796744257,26234803.199625,26560936.2645,100,1.1844364781457872,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/16-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,unknown,2097152,16,16,1358289.533728688,1362076.2393675006,18879.62749069087,1358547.25120682,1365896.58264992,100,1.4379298017841662,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/2-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,unknown,16777216,2,2,30085948.75,30102073.63,112849.5056778292,30080652.035625,30124639.577749997,100,0.5193454303148741,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/2-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,unknown,524288,2,2,633655.8371212122,634020.060797933,2624.31285013078,633582.8414621971,634598.5975644358,100,0.7705780036972919,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/2-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,unknown,8388608,2,2,14798381.875,14798648.205,66316.2372850111,14785843.53625,14811657.554125,100,0.5279293415990456,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/2-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,unknown,131072,2,2,228989.89945652173,229171.00920051843,1386.8661591880011,228914.26645833245,229456.10596226863,100,0.5330816459141573,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/cold/2-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,unknown,33554432,2,2,60430240,60397131.74,286576.3163303752,60341951.372,60454220.98675,100,0.517125200892798,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
