benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
model_cache/public/grouped/1-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,1,1,72961680.5,72999633.92,204885.58951651253,72961427.73900001,73041427.36325,100,0.2731328386007052,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/public/grouped/16-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,16,16,24050456,24210646.445,452502.9310616154,24128181.361625,24304856.822875,100,0.8286009589191456,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/public/grouped/2-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,2,2,48145023.75,48149564.675,87066.2739567915,48132580.778249994,48166562.076125,100,0.4139208863520962,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/public/grouped/32-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,32,25,24126969,24303958.61,446742.327756511,24219789.8095,24394412.184,100,0.8259732461231546,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/public/grouped/4-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,4,4,28346751.5,28365843.35,79241.58278725123,28350720.505250003,28381669.389625,100,0.7030163898689668,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/public/grouped/8-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,8,8,24642323.5,24700051.735,238829.5310301219,24655928.024,24748742.239375,100,0.8086993462301848,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/public/natural/1-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,1,1,56761306.5,56792708.06,174054.5757968303,56760134.31725,56828114.90675,100,0.35108830527082246,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/public/natural/16-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,16,16,21592942.166666664,21568377.519999996,306097.0103324852,21509122.045416668,21628356.741916668,100,0.9229048431763143,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/public/natural/2-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,2,2,33319387.25,33327785.235,69818.22765102664,33314468.00475,33341717.02675,100,0.5980971605065373,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/public/natural/32-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,32,25,21514872.166666664,21553164.79000001,278975.2244516506,21500462.351583324,21608229.78433333,100,0.9262537443712004,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/public/natural/4-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,4,4,25246927.5,25254507.84,67335.94698358494,25241528.247375,25267848.945875,100,0.7893329160169181,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/public/natural/8-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,8,8,21622241.333333336,21653187.916666664,126738.2723718404,21629566.66191666,21678952.946166668,100,0.921654263164703,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
