benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
model_cache/e2e/hot-set/1-workers/1048576-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,16777216,1,1,54076374.5,54117703.91,151713.5135071652,54088821.8385,54147982.922249995,100,0.288943187195362,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/1-workers/16384-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,524288,1,1,2430089.8333333335,2429230.484761904,18082.27298946117,2425753.896880951,2432803.719940476,100,0.20093135788738672,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/1-workers/262144-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,8388608,1,1,27481553.75,27496298.885,78989.80625496074,27481151.577875003,27511848.196625,100,0.2842815974333329,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/1-workers/4096-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,131072,1,1,1129228.993255814,1130880.0011417577,35215.10721180768,1124060.9628492354,1137809.88998713,100,0.10810058298985453,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/1-workers/4194304-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,67108864,1,1,217758393.5,217768621.49,675927.3592407482,217633846.29725,217897127.0895,100,0.2870153429929671,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/1-workers/65536-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,2097152,1,1,7496762.5,7502524.621428572,34615.946332380365,7495852.958071431,7509380.371107138,100,0.26052912840709574,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/16-workers/1048576-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,16777216,16,16,11834654.625,11844656.175,350218.5736341506,11775216.4154375,11911631.9833125,100,1.3202751153373857,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/16-workers/16384-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,524288,16,16,573466.5716346153,575295.8965797548,10699.740791065246,573380.2679489561,577530.5181880964,100,0.8514554712547548,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/16-workers/262144-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,8388608,16,16,5871779.125,5868540.9575,81107.3873258523,5852741.42215625,5884276.110656249,100,1.33051666857445,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/16-workers/4096-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,131072,16,16,330384.66025641025,330908.64278577286,6102.880217551977,329775.9431506491,332156.0526723325,100,0.36947935901522094,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/16-workers/4194304-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,67108864,16,16,50635249.5,50422025.44,1054455.476383282,50206406.4565,50618208.397999994,100,1.234318002126167,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/16-workers/65536-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,2097152,16,16,1657269.2668650793,1657599.7775918178,19568.306000761553,1653621.3337221793,1661286.0622280908,100,1.1785200142488415,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/2-workers/1048576-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,16777216,2,2,30413484.5,30426977.79,75951.73188655125,30412551.67375,30442051.4065,100,0.5137523784885616,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/2-workers/16384-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,524288,2,2,1343084.0332068312,1342295.337259431,11130.065869129076,1340125.8709677523,1344459.6026811355,100,0.3635522706901289,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/2-workers/262144-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,8388608,2,2,15456546.625,15459950.5025,45308.92109754273,15451123.4604375,15468833.52225,100,0.5054492565217491,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/2-workers/4096-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,131072,2,2,577290.7256410257,580206.3656983868,12640.090524901714,577794.8216629678,582705.8917708171,100,0.21145379109365162,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/2-workers/4194304-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,67108864,2,2,122790819,122676455.69,591102.522591226,122561514.6235,122791526.98175,100,0.5089957091987471,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/2-workers/65536-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,2097152,2,2,4174964.708333333,4178258.5816666656,17633.15778067897,4174882.305645834,4181750.973895834,100,0.4678183257696799,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/32-workers/1048576-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,16777216,32,16,11825818.875,11828648.335,355484.97927485907,11759240.9614375,11897690.256875,100,1.3212615688738087,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/32-workers/16384-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,524288,32,32,758980.430976431,758973.3667707327,7134.008100289578,757596.9978954272,760381.2196506867,100,0.643338391968584,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/32-workers/262144-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,8388608,32,32,5965221.5625,5962067.73625,112626.4257346246,5939715.22190625,5983722.8263125,100,1.3096747401827962,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/32-workers/4096-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,131072,32,32,519799.2891705069,520004.3788307192,5799.384108473527,518891.1890802185,521152.7920027446,100,0.23484124554075325,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/32-workers/4194304-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,67108864,32,16,50628835.5,50426774.87,1157539.6978832865,50187648.535,50638270.215749994,100,1.234474373798307,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/32-workers/65536-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,2097152,32,32,1784247.173076923,1786826.4749999996,21814.5496366768,1782656.460692308,1791144.8515384614,100,1.094649345377327,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/4-workers/1048576-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,16777216,4,4,18543487.166666664,18549904.26,47892.96438102572,18540832.670083333,18559546.726749994,100,0.8426138977833215,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/4-workers/16384-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,524288,4,4,805088.2261135057,805580.7412001633,5856.377528624656,804455.3338362561,806733.8008054589,100,0.6064940886753938,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
model_cache/e2e/hot-set/4-workers/262144-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,8388608,4,4,9394074.3,9400182.836000005,24290.16422472569,9395599.551950006,9405073.218150005,100,0.8316412826328188,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
