benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
parallel/decode/cold-executor/16threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,16,1,22756611.25,22771756.458349857,60471.00334200485,22751617.715045583,22794006.598450463,30,0.6866136538672909,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
parallel/decode/cold-executor/16threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,16,16,34714900.71428572,34556128.807540424,576874.5188509747,34347016.70624307,34752528.27564364,30,1.8003796270193648,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,1,1,22774759.125490196,22810279.388293028,118827.88283800588,22771283.22540273,22854489.788613062,30,0.6860665315450923,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,1,1,92716256.625,92765919.15833332,276214.0039880254,92677426.14354166,92869651.03708331,30,0.6740996916299952,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,2,1,22736813.1875,22777493.280428343,72230.85522439067,22753343.2916779,22804059.540762708,30,0.6872115221754184,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,2,2,59943199.08333333,59927006.16111112,154096.73830259044,59871431.31361111,59980411.750277765,30,1.0426537281253907,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,4,1,22762763.409210525,22782000.311655752,93750.41296186218,22750494.21591112,22816406.745491404,30,0.6864280807697379,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,4,4,43289575.875,43300493.604166664,86452.99846243994,43270740.609375,43331341.57270833,30,1.4437655887521443,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,8,1,22763326.861111112,22789993.32836444,62036.62168385784,22769016.163016744,22812420.539800014,30,0.6864110898786839,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,8,8,36072101.46783626,35964818.085780546,278876.76999886247,35862593.28643993,36059146.91560791,30,1.7326409456828626,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
parallel/encode/cold-executor/16threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,16,16,30693244.537777778,30719074.477903698,275917.3538481641,30622110.918962047,30815397.489641976,30,2.0362786971925995,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
parallel/encode/cold-executor/1threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,1,1,151842357.3333333,151951427.6333333,491839.1274788425,151788414.8716667,152133863.3125,30,0.4116111017876014,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
parallel/encode/cold-executor/2threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,2,2,82024922,82092328.55,455385.612487872,81942878.255625,82261907.70270833,30,0.7619635407882498,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
parallel/encode/cold-executor/4threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,4,4,47601709.5,47565934.38571429,298257.4182612269,47459046.14345238,47669581.97797618,30,1.3129780559666664,08514bf0a437675d1d5e5d8275aa2b71837699df,pass
