benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
model_cache/e2e/cold/1-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,unknown,16777216,1,1,53321191,53344419.8,209033.56521942455,53304146.25,53385908.26275,100,0.2930354650180263,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/1-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,unknown,524288,1,1,973637.342052314,978418.1818401708,39171.0948429223,974018.1382924768,986640.6388006358,100,0.5015021804430385,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/1-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,unknown,8388608,1,1,26128387.75,26136602.74,143740.4093506953,26108488.8105,26164631.39875,100,0.2990042889270885,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/1-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,unknown,131072,1,1,323264.4305006588,323782.12340238655,3897.943251575139,323211.79510226415,324667.35448344995,100,0.37761751984572645,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/1-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,unknown,33554432,1,1,106694615.5,106798350.26,350608.4125429556,106731134.3235,106868018.05,100,0.29289200634496876,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/1-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,unknown,2097152,1,1,3877225.5384615385,3897195.176153848,205427.9393978144,3858248.4227884626,3937940.3692884617,100,0.5037429421180872,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/16-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,unknown,16777216,16,16,11643916,11602869.5675,355368.734605609,11533370.5454375,11671470.1405625,100,1.3419025008425,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/16-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,unknown,524288,16,16,482075.7545535186,483571.9526561078,6905.840802944208,482293.8300868597,484991.89254174434,100,1.0128724487549239,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/16-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,unknown,8388608,16,16,5746937.25,5733025.89,93305.93644765328,5714785.8789375005,5750911.09159375,100,1.3594197500590424,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/16-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,unknown,131072,16,16,271455.32332342956,272254.03907565674,3508.637222179962,271594.48238745634,272965.25139754795,100,0.44968840914774577,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/16-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,unknown,33554432,16,8,26669149.25,26658056.065,812156.8900781719,26499965.421625,26817133.055875,100,1.1717659122553374,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/16-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,unknown,2097152,16,16,1367900.6861955873,1371275.8484850812,22164.816751634855,1367360.477416145,1375999.693010222,100,1.4278266103016892,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/2-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,unknown,16777216,2,2,30009850.75,30019517.85,67547.66160280883,30006511.963625,30032887.4675,100,0.5206623695054532,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/2-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,unknown,524288,2,2,633453.3144248188,641156.5482248428,72696.76374759745,633570.0486085454,655962.9904925958,100,0.7708243668175667,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/2-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,unknown,8388608,2,2,14784414.875,14794607.0875,85831.0752048018,14778103.9865,14811372.280812498,100,0.5284280822780956,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/2-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,unknown,131072,2,2,229965.022670697,230819.96605908615,5196.9261039491585,230097.60433595208,231990.07539816233,100,0.5308212139495709,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/2-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,unknown,33554432,2,2,60082020.5,60187427.76,269515.2926455202,60136045.768,60240865.542,100,0.5201223217851004,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/2-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,unknown,2097152,2,2,2323202.075,2326513.4230000004,38362.05544709288,2319145.9043125,2334121.7243750016,100,0.8407038806557539,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/cold/32-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,unknown,16777216,32,16,11573362.5,11560959.8275,374297.6079613545,11487999.0821875,11634174.368375,100,1.3500830031030309,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
