benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
model_cache/public/grouped/1-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,1,1,72951994.5,72978625.86,180133.49152153183,72945144.24975,73015502.63800001,100,0.2731691030605437,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
model_cache/public/grouped/16-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,16,16,24053998.75,24183193.325,354656.625977678,24117134.195125,24254729.586375,100,0.8284789199152478,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
model_cache/public/grouped/2-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,2,2,48219503.5,48239074.82,116204.67950587544,48216734.394625,48262014.661375,100,0.4132815449674367,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
model_cache/public/grouped/32-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,32,25,24120633,24292614.215,428177.4150712555,24212263.1485,24378198.128,100,0.8261902125057299,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
model_cache/public/grouped/4-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,4,4,28361168,28377000.695,63743.07005355959,28364698.49825,28389715.908875,100,0.7026590337902417,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
model_cache/public/grouped/8-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,8,8,24584104.25,24670902.74,302653.7225063436,24616881.3875,24734322.23875,100,0.8106144808608482,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
model_cache/public/natural/1-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,1,1,56739978,56785754.86,178469.84010462413,56753483.85925,56822926.97575001,100,0.3512202790075583,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
model_cache/public/natural/16-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,16,16,21583682,21610071.283333324,328804.6588639839,21546666.00258333,21674481.55283332,100,0.9233008021542719,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
model_cache/public/natural/2-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,2,2,33300439.25,33313140.31,82451.029758924,33297356.918875,33329438.395,100,0.5984374786900963,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
model_cache/public/natural/32-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,32,25,21560226.666666668,21592038.52333333,295107.10512924753,21535198.224,21650270.82158333,100,0.9243052595014177,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
model_cache/public/natural/4-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,4,4,25242114,25242344.25,64011.878667698715,25230092.91175,25255128.868875,100,0.7894834364523796,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
model_cache/public/natural/8-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,unknown,21397775,8,8,21607180.333333336,21642660.576666664,123207.44820486098,21619648.6095,21667856.27708333,100,0.9222966901099768,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
