benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
model_cache/e2e/hot-set/1-workers/1048576-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,16777216,1,1,54172230.5,54184449.58,168103.29619114214,54151856.7825,54217413.35025,100,0.28843191162305937,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/hot-set/1-workers/16384-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,524288,1,1,2454823.4761904757,2455665.5004761894,21966.08616170819,2451466.1184523804,2459976.311226189,100,0.19890686834954852,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/hot-set/1-workers/262144-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,8388608,1,1,27548574.75,27567368.98,108331.65534364618,27546429.84275,27588771.189,100,0.2835899886254551,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/hot-set/1-workers/4096-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,131072,1,1,1086353.6269841269,1086413.4626856206,27434.483207800084,1081093.607495875,1091798.781079956,100,0.11236701334434225,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/hot-set/1-workers/4194304-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,67108864,1,1,217852823.5,217859558.64,462117.5070614369,217770346.48475,217950685.106,100,0.2868909339612025,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/hot-set/1-workers/65536-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,2097152,1,1,7521276.285714285,7525623.078571427,50194.606585183465,7516033.859428567,7535602.668642856,100,0.2596799965598544,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/hot-set/16-workers/1048576-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,16777216,16,16,11894372.625,11887875.59,343579.1871007725,11819421.6815625,11953710.1745625,100,1.3136464185726653,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/hot-set/16-workers/16384-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,524288,16,16,573850.6853070175,575152.2164772492,6851.760788085425,573876.8510783251,576533.7150624894,100,0.8508855395698678,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/hot-set/16-workers/262144-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,8388608,16,16,5889132.375,5879049.47375,72164.89678726997,5864701.49075,5892913.1633750005,100,1.3265960930280498,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/hot-set/16-workers/4096-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,131072,16,16,334689.7962962963,335560.12171173387,4672.585768668538,334662.62297183106,336486.7834695286,100,0.364726722627459,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/hot-set/16-workers/4194304-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,67108864,16,16,50379180.5,50337474.11,1052751.8756351524,50128580.44275,50539412.945,100,1.24059183535151,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
model_cache/e2e/hot-set/16-workers/65536-bytes/hot-set,model_cache,parallel,parallel,e2e,unknown,2097152,16,16,1655531.561311914,1657201.6712504553,20026.812773022215,1653559.2250036316,1661387.2678958846,100,1.1797570313019343,fa7d6a73cb42f7e077be67c0be917cc6c792f4c3,pass
