benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
parallel/decode/cold-executor/16threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,16,1,22746543.10714286,22762302.989388835,47824.66795806555,22746836.639853124,22780385.984173708,30,0.6869175648537753,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
parallel/decode/cold-executor/16threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,16,16,34759943.77083333,34523091.434364185,582427.3522621015,34310835.17254534,34719011.545033984,30,1.7980466370156512,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,1,1,22768141.187179487,22788189.57935908,69702.57343766991,22765758.16140593,22814350.05155552,30,0.6862659481749122,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,1,1,93174755.875,93275335.275,445341.87644020375,93119779.84020834,93431364.71125,30,0.6707825463352737,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,2,1,22733075.74509804,22749666.647219054,56382.28160038986,22730708.526997555,22770438.88630696,30,0.687324503520789,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,2,2,59963403,59848157.18333333,323485.7358314531,59728646.69194445,59955266.168333344,30,1.0423024190271524,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,4,1,22756388.695723683,22775178.10349267,61858.54658670212,22754639.472976472,22797935.043959815,30,0.6866203688521196,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,4,4,43298897.1875,43296671.425,82596.75576823262,43267835.54385416,43325822.28385416,30,1.4434547773665511,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,8,1,22772192.880882353,22782881.414410092,59459.0569012981,22763402.44472247,22805130.268619675,30,0.6861438457741791,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,8,8,36011193.08074074,35964806.58175684,348596.6262214102,35844087.98112944,36088724.66834291,30,1.7355714891164162,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
parallel/encode/cold-executor/16threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,16,16,31135318.836206894,31088069.94944718,370891.7446552182,30950905.136616234,31212405.130131323,30,2.007366628515764,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
parallel/encode/cold-executor/1threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,1,1,151890864,151990755,372220.6893240002,151865206.50861105,152125639.18611112,30,0.4114796529171103,9c1c87b23a147200cc5fc74bb654f93e3736fed8,pass
