benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
model_cache/e2e/cold/1-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,unknown,16777216,1,1,53364305,53373197.2,175210.51619475448,53339520.9235,53408116.30575,100,0.29279871629547133,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/1-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,unknown,524288,1,1,975092.3380752105,976126.9496522574,4758.025736920061,975266.9189106869,977124.2535803616,100,0.5007538577975557,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/1-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,unknown,8388608,1,1,26174049.75,26185243.995,144864.90804475607,26156931.76775,26213482.33075,100,0.298482660292185,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/1-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,unknown,131072,1,1,322763.2174229998,323276.0443879265,2230.7699557662313,322868.4170716165,323737.8007963257,100,0.378203915163046,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/1-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,unknown,33554432,1,1,107070535.5,107024946.67,338767.69388959423,106958792.23425,107090680.8205,100,0.29186367523117507,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/1-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,unknown,2097152,1,1,3870755.625,3890251.804166666,166596.18556399734,3858249.491583334,3923212.486708333,100,0.5045849413446244,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/16-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,unknown,16777216,16,16,11510690,11583965.0725,350662.18421913375,11516513.0151875,11652786.3740625,100,1.3574338289016559,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/16-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,unknown,524288,16,16,479881.5194652908,480666.2225989394,4591.764701508365,479815.4232970277,481610.9603848039,100,1.0175037591446918,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/16-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,unknown,8388608,16,16,5735197,5727688.855,84694.02281588846,5711036.5673125,5744046.4919375,100,1.3622025538093985,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/16-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,unknown,131072,16,16,271172.40699404763,271720.9893028034,4580.045959343809,270901.6315677171,272683.266290332,100,0.4501575726422619,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/16-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,unknown,33554432,16,8,26611903,26622480.57,918465.1565117904,26446091.804375,26803901.2365,100,1.17428655891313,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/16-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,unknown,2097152,16,16,1363200.104370515,1366502.8313955632,17161.195074354717,1363339.8657930763,1370038.3688394616,100,1.432750037018149,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/2-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,unknown,16777216,2,2,30100383.75,30112842.715,86575.37693446514,30096227.638875,30129875.222,100,0.519096371985623,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/2-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,unknown,524288,2,2,634954.061766797,635670.8544065078,4132.862749731694,635010.7283538583,636592.8659660687,100,0.7690024828588838,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/2-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,unknown,8388608,2,2,14775802.625,14781225.5325,65591.01878199998,14768498.647125,14794117.600125,100,0.5287360827885991,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/2-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,unknown,131072,2,2,232190.5522404614,233063.4854072356,7023.007304140282,232152.14152963445,234630.81339756856,100,0.5257333311890374,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/2-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,unknown,33554432,2,2,60187372.5,60211889.53,197744.36019900604,60174648.534250006,60251621.293249995,100,0.5192118994727672,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/2-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,unknown,2097152,2,2,2321433.825,2330700.3040000005,45789.31747313272,2322157.014450001,2339944.921825001,100,0.8413442498193976,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/32-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,unknown,16777216,32,16,11631324.5,11608253.405,348630.5633726645,11539522.1434375,11676490.7886875,100,1.3433551785095499,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/32-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,unknown,524288,32,32,663743.6194465361,664727.4473026649,8263.411745548636,663236.4061209662,666442.183477282,100,0.7356473730130232,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/32-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,unknown,8388608,32,32,5976342.75,5979158.81375,115071.08589641398,5956800.8906875,6001563.713500001,100,1.307237607816252,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
model_cache/e2e/cold/32-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,unknown,131072,32,32,457483.5451298701,457636.6998799927,4730.356227720669,456742.4882127176,458578.95249557897,100,0.26682995224526984,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
