benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
parallel/decode/cold-executor/16threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,16,1,22727822.472058825,22748102.149010535,47553.08851514526,22732372.185278986,22765690.74588979,30,0.6874833706224647,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/decode/cold-executor/16threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,16,16,34762854.601604275,34623344.79309149,595599.4265549819,34407421.12618658,34825919.555571124,30,1.797896079486973,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,1,1,22850239.416666664,22874018.736766934,118261.9009585256,22833319.1994182,22916256.456910074,30,0.6838002751342435,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,1,1,93020909.5,93058921.56666666,239287.58154551304,92974637.73895834,93142662.96208334,30,0.6718919470465938,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,2,1,22743217.71666667,22760297.07077311,49705.1892394805,22743721.11818992,22778720.90351326,30,0.6870180022306034,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,2,2,59279722,59307459.133333325,81052.6014025314,59280697.35027779,59337651.34527778,30,1.054323432893292,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,4,1,22727857.280701756,22757448.106373776,62523.61127447636,22736610.62315413,22780368.910588812,30,0.6874823177135665,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,4,4,43183567.4375,43183426.766666666,88752.95413218292,43152100.57260417,43214419.086875,30,1.4473097918660116,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,16777216,8,1,22757351.73219814,22765327.53809471,44473.72109751051,22750724.26041273,22781969.46382025,30,0.6865913127270005,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,unknown,67108864,8,8,36098233.975,36014989.229772955,339973.0962265015,35891289.45112326,36130831.76286723,30,1.7313866391160482,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/encode/cold-executor/16threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,16,16,30732599.63445378,30752526.510037463,304951.3504501608,30648709.07882194,30863734.007069156,30,2.033671109616524,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/encode/cold-executor/1threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,1,1,151614708.6666667,151680586.6666667,361595.1086294819,151561603.55444443,151816235.72277778,30,0.41222913363511254,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/encode/cold-executor/2threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,2,2,82199599.625,82183430.025,304668.58290665713,82077492.74187501,82291050.84291667,30,0.7603443360445687,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/encode/cold-executor/4threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,4,4,47945432.07142857,47981078.338095225,400894.1838196019,47848917.684523806,48130119.44988095,30,1.3035652678421628,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/encode/cold-executor/8threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,unknown,67108864,8,8,33103823.314685315,33072170.958187476,462399.30218013417,32905086.140570093,33230920.86936491,30,1.8879994436254177,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/verify/cold-executor/16threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,16,16,9914620.498389697,9932715.73954217,92423.40798823064,9901390.149360755,9966398.744132886,30,6.303821715632087,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/verify/cold-executor/1threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,1,1,91401391.875,91397168.95,110021.08091397837,91358232.63854168,91435371.7175,30,0.6837970266959897,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/verify/cold-executor/2threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,2,2,45910352.9375,45922909.43333333,63574.54365376283,45901084.2096875,45945630.77166667,30,1.3613487155083361,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/verify/cold-executor/4threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,4,4,23027650.931888543,23032451.24204652,42298.28722550465,23017390.39499561,23047245.55522413,30,2.7141283400926666,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
parallel/verify/cold-executor/8threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,unknown,67108864,8,8,12459297.027777778,12475979.867258787,98587.63504258008,12441580.40165214,12510857.53650784,30,5.016334377506,e7221c0fc94e5de3c5c3e8bdc26ed3dc81872614,pass
