benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,1048576,1,1,574986.6133461047,574842.5741855133,1513.4923617158186,574536.4760034307,575127.4281995355,100,1.698409106112828,e7221c05dc8b1d7f16e2d4c96b8c8f1b9a52d1b44,pass
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,262144,1,1,138671.73434553738,138783.27390642167,364.5125808894817,138716.11690849677,138858.8013156591,100,1.7605651660176034,e7221c05dc8b1d7f16e2d4c96b8c8f1b9a52d1b44,pass
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,65536,1,1,34126.094723093,34130.71593675213,42.03023583620076,34122.749182762265,34139.156053126186,100,1.7885186320102937,e7221c05dc8b1d7f16e2d4c96b8c8f1b9a52d1b44,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,1048576,1,1,1104817.556880278,1104451.7776731174,8087.372554626108,1102882.7706693597,1106031.7856113007,100,0.8839129084421526,e7221c05dc8b1d7f16e2d4c96b8c8f1b9a52d1b44,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,262144,1,1,190523.84887194575,190684.1204140747,1693.1587358754955,190356.95882150915,191016.85915426852,100,1.2814176621221367,e7221c05dc8b1d7f16e2d4c96b8c8f1b9a52d1b44,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,65536,1,1,39306.53004079254,39304.30001191367,32.769467618556384,39297.74033607596,39310.59585900116,100,1.5527993996584633,e7221c05dc8b1d7f16e2d4c96b8c8f1b9a52d1b44,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,1048576,1,1,574520.2944444444,574806.3613484605,3358.2696377888124,574156.9908440119,575462.1565369193,100,1.6997876479617255,e7221c05dc8b1d7f16e2d4c96b8c8f1b9a52d1b44,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,262144,1,1,142938.3981159284,143029.95812259932,911.8231006360304,142867.3202540075,143220.9303455279,100,1.7080128798000995,e7221c05dc8b1d7f16e2d4c96b8c8f1b9a52d1b44,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,65536,1,1,35737.992942489494,35756.14340787909,148.9741167319109,35727.703899128785,35785.87258960078,100,1.7078506996243286,e7221c05dc8b1d7f16e2d4c96b8c8f1b9a52d1b44,pass
scalar/scalar-16way/allocating/SKEWED_255_1/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,1048576,1,1,583925.272204969,584617.6066563578,1413.2130216698122,584352.7189877059,584903.2639125906,100,1.6724100608154666,e7221c05dc8b1d7f16e2d4c96b8c8f1b9a52d1b44,pass
scalar/scalar-16way/allocating/SKEWED_255_1/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,unknown,262144,1,1,142339.31997971603,142435.26383360205,345.5400760559034,142371.55259870956,142505.98058675745,100,1.7152015692838147,e7221c05dc8b1d7f16e2d4c96b8c8f1b9a52d1b44,pass
