benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
byte-rans/byte-decode/FREQ1_RESIDUAL/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,1024,1,1,3186.419392421689,3187.0428193968323,2.780235784261124,3186.5189447523567,3187.600777495788,100,0.29929340709963936,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,1048576,1,1,3305871.0999999996,3325223.1200000006,32728.02306622004,3319035.0008333325,3331746.2208499988,100,0.29540247349632,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,256,1,1,805.2231842437574,805.35219029486,1.2065922914499847,805.1276288149804,805.5977086306953,100,0.2960900577216718,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,4096,1,1,12771.707912801485,12773.438658964897,15.3622152956769,12770.526370763964,12776.507124187425,100,0.29868340958544853,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,64,1,1,198.1583747352989,198.31424071392237,1.9344761695128552,197.94725241032512,198.6993199231511,100,0.3007929634819162,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,65536,1,1,205513.29720689653,207110.8950953515,2779.6848969850003,206584.2153406893,207669.482858878,100,0.2969888424716092,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,1024,1,1,3594.642893081761,3596.376900588853,11.37750530650672,3594.616977120427,3598.960120360802,100,0.26530432779336405,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,1048576,1,1,3734928.25,3740201.00642857,22170.51717712428,3736243.427285715,3744853.036874998,100,0.2614675395705393,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,256,1,1,893.9258772673334,897.0711286421749,6.820801772680745,895.8184068162213,898.4600416373322,100,0.26670956190505507,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,4096,1,1,14574.834265053538,14574.497317874791,20.716361167236332,14570.606377929878,14578.689732107758,100,0.2617317765850415,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,64,1,1,223.59433686518088,223.20806912063784,2.2295772980650943,222.76906154716244,223.63867102525128,100,0.266574930345083,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,65536,1,1,233610.67736842105,233630.16161838768,306.9831969530112,233570.52317373027,233689.66844525436,100,0.2612686925852414,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/PRIME_RESIDUE/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,1024,1,1,3626.440150797698,3625.931975569675,5.423872298221177,3624.883550700067,3626.996072764654,100,0.26297809332286176,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/PRIME_RESIDUE/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,1048576,1,1,3695281.821428572,3696180.947857142,12879.99721637155,3694016.078482143,3699020.569589287,100,0.26427280710689266,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/PRIME_RESIDUE/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,256,1,1,912.8919492447292,914.8374131147966,5.913383310700668,913.7504903967804,916.0589658915223,100,0.2611684540528761,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/PRIME_RESIDUE/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,4096,1,1,14405.641283643892,14441.965304902007,88.75124000695223,14425.577128272367,14460.06833206544,100,0.2648057931274599,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/PRIME_RESIDUE/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,64,1,1,220.17883013556985,220.2336590739895,0.4735318735493288,220.14827569125055,220.33344910896776,100,0.27071015291838224,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/PRIME_RESIDUE/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,65536,1,1,232717.20156555777,233807.36624301568,1913.9459535696687,233443.47530430288,234187.70022674048,100,0.2622717866981829,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/RENORM_BOUNDARY/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,1024,1,1,3263.1886453425477,3262.473398579827,8.851388044178195,3260.7883766837676,3264.269536477515,100,0.29225227838647977,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/RENORM_BOUNDARY/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,1048576,1,1,3383130,3370501.057999999,30767.491320378285,3364429.514016666,3376415.6888166666,100,0.2886565103912649,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
byte-rans/byte-decode/RENORM_BOUNDARY/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,256,1,1,820.0345840890961,820.3983846708009,1.4730431699572697,820.1260622100301,820.6990847221049,100,0.29074210250095806,48ae2db6d43d9ddfa529443a02185e28c7d3d2f1,pass
