benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
model_cache/public/grouped/1-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,1,1,74299456.5,74585297.09,896673.4906698662,74420051.73525,74768365.17475,100,0.2682150293258568,48ae2db,pass
model_cache/public/grouped/16-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,16,16,24751950,25146036.945,820804.223573718,24988631.100375,25309016.722375,100,0.8051176131190763,48ae2db,pass
model_cache/public/grouped/2-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,2,2,48676802.5,48700162.69,243452.0041503502,48656050.26925,48750907.43125,100,0.4093989309187414,48ae2db,pass
model_cache/public/grouped/32-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,32,25,24948860.5,25175319.78,780584.966843383,25026941.27525,25332136.893375,100,0.7987631701272577,48ae2db,pass
model_cache/public/grouped/4-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,4,4,28595590.25,28682464.995,363305.20034906495,28622743.98425,28763389.8705,100,0.6968987431215105,48ae2db,pass
model_cache/public/grouped/8-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,8,8,25332487.5,25579648.185,647179.1106753787,25456878.943875,25708738.652,100,0.7866669589412695,48ae2db,pass
model_cache/public/natural/1-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,1,1,57620399,57645150.34,233913.03532707115,57601154.346250005,57692154.3695,100,0.3458537471086016,48ae2db,pass
model_cache/public/natural/16-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,16,16,22605357.833333332,22659772.233333327,793336.5042344681,22509746.961499996,22820566.64316667,100,0.8815711324267125,48ae2db,pass
model_cache/public/natural/2-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,2,2,33782005.5,33922711.11,338669.75171993644,33859659.1185,33991790.730875,100,0.5899066857958661,48ae2db,pass
model_cache/public/natural/32-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,32,25,22350377.666666668,22406050.236666664,479198.6779921003,22314330.24141667,22500964.506916665,100,0.8916283743054447,48ae2db,pass
model_cache/public/natural/4-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,4,4,25564807.5,25646399.12,454623.07081806374,25578348.40175,25748744.301875,100,0.7795181287417369,48ae2db,pass
model_cache/public/natural/8-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,8,8,22415954,22464823.653333336,392640.6872411936,22390615.947666664,22544050.003916673,100,0.8890199767559623,48ae2db,pass
