benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
model_cache/e2e/hot-set/1-workers/1048576-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,16777216,1,1,55230185.5,55263876.77,314683.8665851924,55204600.35375,55327256.9385,100,0.28290688974781736,48ae2db,pass
model_cache/e2e/hot-set/1-workers/16384-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,524288,1,1,2496064.55,2497427.6554999994,18295.75697443869,2494010.2720999992,2501138.4712249995,100,0.19562044178705235,48ae2db,pass
model_cache/e2e/hot-set/1-workers/262144-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,8388608,1,1,28063431.25,28558635.845,2530271.378654809,28151248.832375,29125116.642375,100,0.2783871982867384,48ae2db,pass
model_cache/e2e/hot-set/1-workers/4096-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,131072,1,1,1197232.7341736697,1197887.6392671966,21424.80537877207,1193685.883332861,1202036.5215487753,100,0.10196038666137287,48ae2db,pass
model_cache/e2e/hot-set/1-workers/4194304-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,67108864,1,1,221666045.5,221832218.16,1121123.965627016,221617567.20275,222055627.9205,100,0.2819556773299319,48ae2db,pass
model_cache/e2e/hot-set/1-workers/65536-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,2097152,1,1,7607334.714285715,7610808.219999999,25539.533193802417,7605918.6185,7615856.364571429,100,0.2567423510802347,48ae2db,pass
model_cache/e2e/hot-set/16-workers/1048576-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,16777216,16,16,12697687.5,12838363.9425,485036.1449458019,12744111.8329375,12933756.8919375,100,1.2305390253146489,48ae2db,pass
model_cache/e2e/hot-set/16-workers/16384-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,524288,16,16,617966.2116446579,621133.2521384332,19590.502310613105,617350.3174231132,624984.887882473,100,0.7901423100471565,48ae2db,pass
model_cache/e2e/hot-set/16-workers/262144-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,8388608,16,16,6372465.5,6338952.445714287,147372.09731085238,6309796.27907143,6367247.811892861,100,1.2259776063126588,48ae2db,pass
model_cache/e2e/hot-set/16-workers/4096-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,131072,16,16,376070.7672558923,375645.22312424594,24873.475227332117,370885.9176027419,380549.14766993944,100,0.3245939943450561,48ae2db,pass
model_cache/e2e/hot-set/16-workers/4194304-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,67108864,16,16,53522670,53524053.22,1452087.9966231878,53240984.8755,53806074.42875,100,1.1677294873368613,48ae2db,pass
