benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,1048576,1,1,886921.6034985422,888374.5341339788,10589.071249807745,885522.1563461892,891349.3680229769,50,1.1010696956166826,48ae2db,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,262144,1,1,212630.06923076924,212370.81186147564,2225.296449698555,211759.28046438863,212980.20770585875,50,1.1481942600274098,48ae2db,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,65536,1,1,50560.54112149532,50452.00888566476,425.42236189186406,50336.36706517498,50569.46782404278,50,1.2071697591870016,48ae2db,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,1048576,1,1,802567.5554054054,804759.6752182618,11921.488262892975,801543.7833425312,808058.4104436589,50,1.2167978800322967,48ae2db,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,262144,1,1,200654.44480452675,200823.94767815783,2147.207326731879,200236.9704057046,201413.17504683905,50,1.21672173889712,48ae2db,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,65536,1,1,49905.58083120857,49993.28019219869,553.4553412538799,49844.21175427108,50147.97833878388,50,1.223012641741092,48ae2db,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,1048576,1,1,917020.101754386,917786.0839467038,9629.377741247716,915240.7467706203,920525.9922737944,50,1.0649303086504878,48ae2db,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,262144,1,1,223672.9713824885,223408.8788066887,1890.9204979599556,222920.61137930345,223951.07522262304,50,1.0915070492916692,48ae2db,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,65536,1,1,53612.658375675295,53649.52689843379,467.34512233909834,53530.67964037675,53784.912871504996,50,1.1384467418555089,48ae2db,pass
avx2/avx2-2x8-on16/into/UNIFORM256/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,1048576,1,1,1052130.9191176472,1051328.1529768049,8059.699635556048,1049142.5959557912,1053540.5993283216,50,0.9281758403402673,48ae2db,pass
avx2/avx2-2x8-on16/into/UNIFORM256/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,262144,1,1,267245.2698412698,267125.28534048214,3734.005248660638,266099.82894406776,268147.74368034856,50,0.9135451682456612,48ae2db,pass
avx2/avx2-2x8-on16/into/UNIFORM256/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,65536,1,1,66152.491893041,66799.22840975312,980.3648347810426,66533.59031971425,67071.85895040669,50,0.9226433427282679,48ae2db,pass
avx2/avx2-hardware-gather-8way/into/SKEWED_255_1/64KiB/avx2-hw-gather,avx2,avx2-hardware-gather,avx2-hardware-gather,avx2-hardware-gather-8way,not_applicable,65536,1,1,88723.6712087912,88997.9037030485,516.024145070137,88866.48173095688,89148.19393533935,50,0.687924151677262,48ae2db,pass
avx2/avx2-manual-gather-8way/into/SKEWED_255_1/64KiB/avx2-manual-gather,avx2,avx2-manual-gather,avx2-manual-gather,avx2-manual-gather-8way,not_applicable,65536,1,1,89577.9571524378,89255.53557595327,822.8849344602136,89023.80945206227,89474.84994887123,50,0.6813635652143132,48ae2db,pass
avx2/avx2-uniform256-tablefree-16way/into/UNIFORM256/1MiB/avx2-uniform256,avx2,avx2-uniform256,avx2-uniform256,avx2-uniform256-tablefree-16way,not_applicable,1048576,1,1,703535.104335187,704231.5964144734,11294.777460299232,701120.0873052663,707315.2042264707,50,1.388079278464453,48ae2db,pass
