benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
r64/r64-decode/FREQ1_RESIDUAL/1KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,1024,1,1,3223.237339434048,3224.9003558111876,10.706376832156176,3223.024331930446,3227.18424444279,100,0.29587468001152556,48ae2db,pass
r64/r64-decode/FREQ1_RESIDUAL/1MiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,1048576,1,1,3325740.833333333,3327136.9026666665,7772.400829297283,3325737.447899999,3328772.366383334,100,0.29363758300468895,48ae2db,pass
r64/r64-decode/FREQ1_RESIDUAL/256B/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,256,1,1,809.5922490430917,809.5946568706812,1.5019229336540236,809.2993971841606,809.8852276067483,100,0.2944921710692815,48ae2db,pass
r64/r64-decode/FREQ1_RESIDUAL/4KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,4096,1,1,12899.788994201605,12900.940383974024,21.723551730060084,12896.73062544826,12905.156005672883,100,0.29571780339505466,48ae2db,pass
r64/r64-decode/FREQ1_RESIDUAL/64B/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,64,1,1,209.60527024627044,209.48327506124664,2.211831143997744,209.08784796223225,209.951297583735,100,0.2843661550368445,48ae2db,pass
r64/r64-decode/FREQ1_RESIDUAL/64KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,65536,1,1,206847.7464285714,206830.6040845799,789.161728842378,206668.8510533563,206976.56408963876,100,0.29507286061285004,48ae2db,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,1024,1,1,3646.327593146819,3652.369419705399,40.82596596305936,3646.176846243795,3661.307982696456,100,0.26154378399753686,48ae2db,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,1048576,1,1,3501210.5,3501169.0664285733,10305.484648245085,3499423.991160714,3503423.1020178567,100,0.2789213901877651,48ae2db,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/256B/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,256,1,1,919.3585664598138,923.3800184152856,16.591806745677577,920.5068357232273,926.9320430634136,100,0.2593314380260186,48ae2db,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,4096,1,1,13822.11371903391,13826.847411114515,18.61864652192989,13823.254821946108,13830.510866084704,100,0.27598508760435997,48ae2db,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/64B/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,64,1,1,219.95054078984472,219.60728849164224,1.0488488571757866,219.4009953464295,219.8108017050548,100,0.2709911262838896,48ae2db,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/64KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,65536,1,1,221840.4411111111,221776.08927071557,2014.6787952968891,221383.5545119728,222169.60271300544,100,0.27513088210742376,48ae2db,pass
r64/r64-decode/PRIME_RESIDUE/1KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,1024,1,1,3352.406288608846,3354.950114897596,9.521265336654706,3353.2093432959778,3356.9193404323314,100,0.2844745637325475,48ae2db,pass
