benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
alias/alias-decode/FREQ1_RESIDUAL/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,1024,1,1,4039.448138297872,4018.451139766623,51.581230844846544,4008.2806432753864,4028.4601075999353,100,0.2360902489041748,5d1c6b6,pass
alias/alias-decode/FREQ1_RESIDUAL/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,1048576,1,1,4214459.041666667,4184600.1225,43690.133644401496,4176024.4408749994,4193053.674958333,100,0.23171716472864443,5d1c6b6,pass
alias/alias-decode/FREQ1_RESIDUAL/256B/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,256,1,1,988.3766717134718,988.386184144633,0.8500841890807684,988.2195948149232,988.5524021038837,100,0.24122238608508917,5d1c6b6,pass
alias/alias-decode/FREQ1_RESIDUAL/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,4096,1,1,15837.850806451614,15898.785700903476,148.98403713500542,15871.244776254453,15929.095527917609,100,0.24085952773788397,5d1c6b6,pass
alias/alias-decode/FREQ1_RESIDUAL/64B/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,64,1,1,237.48985864931336,239.21515981761323,2.651044804043946,238.71111975653844,239.74397957545105,100,0.25097764222178903,5d1c6b6,pass
alias/alias-decode/FREQ1_RESIDUAL/64KiB/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,65536,1,1,254565.6354166667,256184.54070616304,2635.3595887765578,255681.87754797097,256713.2128931731,100,0.23976196217568477,5d1c6b6,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,1024,1,1,4820.894806598197,4821.75910688341,8.15555564457585,4820.207143173441,4823.3893168776185,100,0.19782101760465465,5d1c6b6,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,1048576,1,1,4592064.318181818,4592329.392727272,13400.07012282332,4589727.666681816,4594940.420181817,100,0.21266307097080472,5d1c6b6,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/256B/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,256,1,1,1083.650819257422,1084.468559684121,10.842584527631384,1082.4159348897624,1086.6353518099872,100,0.2200142101723692,5d1c6b6,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,4096,1,1,17724.55919791427,17725.41916604053,22.036624066074932,17721.139267111375,17729.771538784444,100,0.21522099494998403,5d1c6b6,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/64B/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,64,1,1,267.4706703397612,267.9466308949652,5.01697495499814,266.99032833397433,268.9452141088884,100,0.22284553554853828,5d1c6b6,pass
alias/alias-decode/INCOMPRESSIBLE_LIKE/64KiB/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,65536,1,1,287742.6130050505,287457.15307266754,2199.809900799793,287016.4519139379,287873.71336797153,100,0.2121171960335562,5d1c6b6,pass
alias/alias-decode/PRIME_RESIDUE/1KiB/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,1024,1,1,4333.2543685756245,4333.03584950536,3.9677001011281665,4332.282196245027,4333.830771956862,100,0.22008269888844084,5d1c6b6,pass
alias/alias-decode/PRIME_RESIDUE/1MiB/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,1048576,1,1,4540692,4540539.384999998,28732.56145369476,4534834.299249998,4546065.3091875,100,0.2150690907905667,5d1c6b6,pass
alias/alias-decode/PRIME_RESIDUE/256B/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,256,1,1,1082.907412966957,1083.18616712762,1.3440413162766542,1082.9260348997277,1083.4533806757672,100,0.22016524796736006,5d1c6b6,pass
alias/alias-decode/PRIME_RESIDUE/4KiB/iter,alias,alias-decode,alias-decode,alias-decode,not_applicable,4096,1,1,17331.67527296583,17331.86571476511,18.77767449480609,17328.2521849415,17335.535063206367,100,0.22009974255490547,5d1c6b6,pass
