benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
model_cache/e2e/cold/1-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,16777216,1,1,55776746,55816036.61,246841.10850258663,55769749.99975,55865522.76925,100,0.28013466400496007,5d1c6b6,pass
model_cache/e2e/cold/1-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,524288,1,1,1003084.809774436,1005058.2947517872,12824.343636799083,1002602.9339094152,1007608.3607676608,100,0.4867796274472544,5d1c6b6,pass
model_cache/e2e/cold/1-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,8388608,1,1,27390900,27384423.33,185619.6714107028,27348299.718375,27420637.81125,100,0.28522246439510934,5d1c6b6,pass
model_cache/e2e/cold/1-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,131072,1,1,335629.25649154594,336200.6876697163,3586.836962539773,335557.4333198531,336952.8937771819,100,0.3637058156849768,5d1c6b6,pass
model_cache/e2e/cold/1-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,33554432,1,1,112333070,112404919.65,707530.5340658615,112273039.49525,112548964.7225,100,0.2781905631173438,5d1c6b6,pass
model_cache/e2e/cold/1-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,2097152,1,1,4358221.583333334,4387928.673333333,315227.6429214168,4327668.245583333,4450256.607437502,100,0.4481472459934393,5d1c6b6,pass
model_cache/e2e/cold/16-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,16777216,16,16,12191036.5,12186435.22,403775.2355497524,12110304.9131875,12268276.559625,100,1.2816793715612287,5d1c6b6,pass
model_cache/e2e/cold/16-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,524288,16,16,502512.7239583334,503557.23781152896,8521.389544903366,501958.3512735263,505290.6183871179,100,0.9716793759046917,5d1c6b6,pass
model_cache/e2e/cold/16-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,8388608,16,16,5985071.6875,6005203.48375,133792.20923779532,5980330.29290625,6032757.9760937495,100,1.305331065009069,5d1c6b6,pass
model_cache/e2e/cold/16-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,131072,16,16,288625.39726720646,290295.81838865747,11070.82370542983,288413.81397196616,292672.83389684197,100,0.4229368366602491,5d1c6b6,pass
model_cache/e2e/cold/16-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,33554432,16,8,27945725.75,27964311.39,879138.7931879542,27793012.185124997,28135511.787,100,1.118238985079856,5d1c6b6,pass
model_cache/e2e/cold/16-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,2097152,16,16,1408079.137652582,1414424.3301002742,28894.5074013715,1409110.390689384,1420333.844347208,100,1.3870846799534773,5d1c6b6,pass
model_cache/e2e/cold/2-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,16777216,2,2,31353250,31413524.615,350941.5058478001,31359051.781125,31492449.09375,100,0.49835344023346856,5d1c6b6,pass
model_cache/e2e/cold/2-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,524288,2,2,651600.694946358,658956.2889195823,55634.77376970247,652485.2215037127,670804.5702230155,100,0.7493565519297013,5d1c6b6,pass
model_cache/e2e/cold/2-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,8388608,2,2,15457074.375,15479278.5825,140096.6897030407,15453405.9319375,15508068.0420625,100,0.5054319989968995,5d1c6b6,pass
model_cache/e2e/cold/2-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,131072,2,2,242274.3566810345,243246.22903755415,3074.1727797150497,242671.01098826487,243867.79998645585,100,0.5038515597451829,5d1c6b6,pass
model_cache/e2e/cold/2-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,33554432,2,2,62717029,62825462.08,322235.4766114114,62764707.963,62890132.121,100,0.4982697761400655,5d1c6b6,pass
model_cache/e2e/cold/2-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,2097152,2,2,2455026.8947368423,2457278.8657894726,58359.94256669985,2446179.8100526314,2468972.4761447376,100,0.7955615493203623,5d1c6b6,pass
model_cache/e2e/cold/32-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,16777216,32,16,12201008.75,12193596.305,376241.1346367892,12119048.80425,12266295.375875,100,1.280631816611065,5d1c6b6,pass
model_cache/e2e/cold/32-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,524288,32,32,697039.1740785257,697438.3730442405,13845.6665136536,694790.000675783,700198.1631562535,100,0.7005076158675009,5d1c6b6,pass
model_cache/e2e/cold/32-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,8388608,32,32,6315939.928571429,6322568.287142859,109731.13251134906,6301041.463571429,6343971.793178575,100,1.2369497000214615,5d1c6b6,pass
model_cache/e2e/cold/32-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,131072,32,32,481246.8550629207,482101.7456546506,16279.15066034662,479179.761544749,485511.7148095611,100,0.2536542550164611,5d1c6b6,pass
model_cache/e2e/cold/32-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,33554432,32,8,27789989.5,27801492.7,808244.8327029439,27643085.91325,27958474.7115,100,1.1245056425803974,5d1c6b6,pass
model_cache/e2e/cold/32-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,2097152,32,32,1603583.3415658602,1605772.954491347,21750.04532410008,1601770.503323089,1610246.7574510032,100,1.217975361413284,5d1c6b6,pass
model_cache/e2e/cold/4-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,16777216,4,4,19086514,19169122.626666665,253198.2684283174,19124545.673583325,19222478.91666666,100,0.8186408476686733,5d1c6b6,pass
model_cache/e2e/cold/4-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,524288,4,4,489268.295,490328.1713712925,4388.5604140372125,489508.6743756521,491218.0411254514,100,0.9979826099297932,5d1c6b6,pass
model_cache/e2e/cold/4-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,8388608,4,4,9482647.3,9505839.318,100858.38338436102,9487464.536750004,9526748.361649994,100,0.823873308037092,5d1c6b6,pass
