benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
model_cache/public/grouped/1-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,1,1,76069533.5,76122709.98,237463.47791752417,76078022.88949999,76170102.06375,100,0.2619738808315779,5d1c6b6,pass
model_cache/public/grouped/16-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,16,16,24928497.75,25016232.805,399209.735041954,24940033.193375,25095788.338375,100,0.7994156368304512,5d1c6b6,pass
model_cache/public/grouped/2-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,2,2,49958607,49998841.74,228873.9885051487,49960472.984500006,50048667.9935,100,0.3988948471690318,5d1c6b6,pass
model_cache/public/grouped/32-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,32,25,24894006,25061298.47,495024.0147981845,24967090.202875,25160138.098,100,0.800523262669846,5d1c6b6,pass
model_cache/public/grouped/4-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,4,4,29179064.5,29219040.56,120594.45021275886,29196803.998,29243876.40575,100,0.6829633247509604,5d1c6b6,pass
model_cache/public/grouped/8-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,8,8,25399317.25,25506044.365,354372.70921062335,25440917.829,25578812.612375,100,0.7845971097527324,5d1c6b6,pass
model_cache/public/natural/1-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,1,1,59005627.5,59045277.01,220031.76358979224,59004427.596,59089781.38025,100,0.33773441192609505,5d1c6b6,pass
model_cache/public/natural/16-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,16,16,22363400,22372556.070000004,367103.21927332366,22302527.705,22445498.04125,100,0.8911091740988724,5d1c6b6,pass
model_cache/public/natural/2-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,2,2,34621614.5,34641750.45,146459.59831023173,34615356.6675,34672527.451000005,100,0.5756008548949304,5d1c6b6,pass
model_cache/public/natural/32-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,32,25,22340080.5,22393732.133333337,335498.755006851,22329604.02725,22460086.58958333,100,0.8920393507106082,5d1c6b6,pass
model_cache/public/natural/4-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,4,4,26116002,26152016.52,176198.3886033547,26122453.804750003,26190661.91575,100,0.7630659127703666,5d1c6b6,pass
model_cache/public/natural/8-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,8,8,22405874,22492832.35333333,210891.3389384551,22453469.915749993,22535968.492749996,100,0.8894199308646795,5d1c6b6,pass
