benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
model_cache/e2e/hot-set/1-workers/1048576-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,16777216,1,1,56952020,56967912.5,245767.59011295467,56921766.9645,57017407.0345,100,0.27435374548611274,5d1c6b6,pass
model_cache/e2e/hot-set/1-workers/16384-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,524288,1,1,2708097.7894736845,2710489.251578948,21300.478850736887,2706365.888750001,2714694.125592103,100,0.18030414259704294,5d1c6b6,pass
model_cache/e2e/hot-set/1-workers/262144-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,8388608,1,1,28923059.5,28927061.225,113283.26979232318,28905412.332,28949451.423,100,0.2701131946293579,5d1c6b6,pass
model_cache/e2e/hot-set/1-workers/4096-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,131072,1,1,1316350.4166666665,1317005.4175112431,11665.505162745902,1314789.0176960828,1319322.0558143395,100,0.09273390349137658,5d1c6b6,pass
model_cache/e2e/hot-set/1-workers/4194304-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,67108864,1,1,227831010,227981774.36,1058521.0926537265,227783679.633,228197729.2315,100,0.2743261332160183,5d1c6b6,pass
model_cache/e2e/hot-set/1-workers/65536-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,2097152,1,1,8013969.142857144,8022611.595714283,45443.62724816125,8013933.985857141,8031692.513107142,100,0.2437150636823729,5d1c6b6,pass
model_cache/e2e/hot-set/16-workers/1048576-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,16777216,16,16,12376281.375,12310760.9475,373392.1165011386,12237369.638,12382937.6708125,100,1.2624955369520274,5d1c6b6,pass
model_cache/e2e/hot-set/16-workers/16384-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,524288,16,16,600008.8501199887,605070.3767021358,15871.75915473234,602119.2578686143,608314.2728398605,100,0.8137900797669141,5d1c6b6,pass
model_cache/e2e/hot-set/16-workers/4096-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,131072,16,16,345301.31535676017,347344.15110285656,12809.237028994505,345154.93407158164,350114.38758697105,100,0.3535182377567221,5d1c6b6,pass
model_cache/e2e/hot-set/16-workers/4194304-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,67108864,16,16,51605476,51318206.61,1615417.509612298,50996970.611499995,51624601.745749995,100,1.2111117820132113,5d1c6b6,pass
model_cache/e2e/hot-set/16-workers/65536-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,2097152,16,16,1713743.5290834312,1715258.1840767122,16535.736525316977,1712051.2258267498,1718497.7600350117,100,1.1396833696840263,5d1c6b6,pass
model_cache/e2e/hot-set/2-workers/1048576-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,16777216,2,2,31787509.75,31797772.425,91938.9826025214,31780302.7535,31816309.5365,100,0.4915452680277983,5d1c6b6,pass
model_cache/e2e/hot-set/2-workers/16384-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,524288,2,2,1482499.0733695652,1483941.9604415256,9195.134020356969,1482248.5937677925,1485837.890252371,100,0.32936361227544503,5d1c6b6,pass
model_cache/e2e/hot-set/2-workers/262144-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,8388608,2,2,16153075,16164419.906666668,61846.52858847155,16152641.576166669,16176719.392500008,100,0.4836540411036289,5d1c6b6,pass
model_cache/e2e/hot-set/2-workers/4096-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,131072,2,2,703644.0643939395,704523.8623740157,7302.67575238462,703201.2430779368,706055.4672778419,100,0.17348304160732347,5d1c6b6,pass
model_cache/e2e/hot-set/2-workers/4194304-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,67108864,2,2,128017618.5,128079097.07,569737.7313461517,127974186.333,128195915.0555,100,0.48821405000593726,5d1c6b6,pass
model_cache/e2e/hot-set/2-workers/65536-bytes/hot-set,model_cache,parallel,parallel,e2e,not_applicable,2097152,2,2,4442300.227272727,4445279.419090909,20088.243810013548,4441404.876022726,4449252.6352727255,100,0.43966524099589893,5d1c6b6,pass
