benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,1048576,1,1,879514.6886446886,886740.0319395427,15277.915355417188,882586.6459560569,890951.2877523368,50,1.1103424565937152,5d1c6b6,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,262144,1,1,209463.30594674556,208990.78178994675,1170.3043208800325,208667.24424050187,209311.81247708996,50,1.1655531927013072,5d1c6b6,pass
avx2/avx2-2x8-on16/into/FREQ1_RESIDUAL/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,65536,1,1,50399.96238317757,50432.80001788932,444.9433909225994,50313.90530258473,50557.80581477191,50,1.2110159088208414,5d1c6b6,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,1048576,1,1,797862.207714627,796520.3997167103,5922.979311640946,794874.3453144977,798120.805475282,50,1.2239738773907298,5d1c6b6,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,262144,1,1,200440.91666666663,200912.13120948747,1573.6800623716308,200495.30991211208,201359.78614207465,50,1.2180179030312759,5d1c6b6,pass
avx2/avx2-2x8-on16/into/RENORM_BOUNDARY/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,65536,1,1,49584.21633985281,49471.57505497562,296.08248023712855,49391.07864536758,49552.93686999114,50,1.2309392132299088,5d1c6b6,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,1048576,1,1,914520.5024884793,913184.161226692,7401.176279643988,911275.576662298,915360.8618955958,50,1.0678410132333827,5d1c6b6,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,262144,1,1,223050.1945287356,222670.41350497075,1106.7737909616349,222365.549368438,222972.09951917356,50,1.0945546383217672,5d1c6b6,pass
avx2/avx2-2x8-on16/into/SKEWED_255_1/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,65536,1,1,53566.77265934864,53450.98127245448,283.2241605980034,53373.70298184279,53528.92678079362,50,1.139421944236694,5d1c6b6,pass
avx2/avx2-2x8-on16/into/UNIFORM256/1MiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,1048576,1,1,1049037.5773993807,1049260.1481618113,6417.6916704341165,1047620.8513703594,1051145.3382747015,50,0.9309127919144229,5d1c6b6,pass
avx2/avx2-2x8-on16/into/UNIFORM256/256KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,262144,1,1,262177.75303030305,262942.6906481977,1911.3396270488824,262440.5737268955,263491.82937176735,50,0.9312026752009799,5d1c6b6,pass
avx2/avx2-2x8-on16/into/UNIFORM256/64KiB/iter,avx2,avx2-2x8,avx2-2x8,avx2-2x8-on16,not_applicable,65536,1,1,65620.48596292836,65593.04253743897,212.52879841865777,65530.77118106204,65646.62821389303,50,0.9301235026586241,5d1c6b6,pass
avx2/avx2-hardware-gather-8way/into/SKEWED_255_1/64KiB/avx2-hw-gather,avx2,avx2-hardware-gather,avx2-hardware-gather,avx2-hardware-gather-8way,not_applicable,65536,1,1,88888.2611506141,89002.28053962233,224.22875787409353,88944.04234224145,89066.34080209146,50,0.6866503569754928,5d1c6b6,pass
avx2/avx2-manual-gather-8way/into/SKEWED_255_1/64KiB/avx2-manual-gather,avx2,avx2-manual-gather,avx2-manual-gather,avx2-manual-gather-8way,not_applicable,65536,1,1,88086.14336752138,88381.88308666345,820.5847331371108,88160.96041377194,88612.22319131224,50,0.6929030369208392,5d1c6b6,pass
avx2/avx2-uniform256-tablefree-16way/into/UNIFORM256/1MiB/avx2-uniform256,avx2,avx2-uniform256,avx2-uniform256,avx2-uniform256-tablefree-16way,not_applicable,1048576,1,1,700242.8223239688,703554.800861738,6810.025498580732,701749.0026766274,705473.5481565085,50,1.3946055123549577,5d1c6b6,pass
