benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
r64/r64-decode/FREQ1_RESIDUAL/1KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,1024,1,1,3211.689545126,3212.502699150215,6.131801390533833,3211.4045167206973,3213.794143521097,100,0.29693851258242826,5d1c6b6,pass
r64/r64-decode/FREQ1_RESIDUAL/1MiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,1048576,1,1,3329124.6666666665,3342670.951999999,24006.978787452565,3338073.4999000016,3347441.0938500017,100,0.29333911997287776,5d1c6b6,pass
r64/r64-decode/FREQ1_RESIDUAL/256B/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,256,1,1,806.8138627283106,806.825942695305,1.133446645329635,806.6082306518674,807.0516661918459,100,0.2955062996752802,5d1c6b6,pass
r64/r64-decode/FREQ1_RESIDUAL/4KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,4096,1,1,12892.082940026696,12892.98245083441,18.05804140210133,12889.551984523276,12896.571825925896,100,0.2958945643904693,5d1c6b6,pass
r64/r64-decode/FREQ1_RESIDUAL/64B/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,64,1,1,205.85240005320944,206.70722982450573,2.146988672550924,206.3179325609255,207.1537660963992,100,0.28955039999525783,5d1c6b6,pass
r64/r64-decode/FREQ1_RESIDUAL/64KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,65536,1,1,210341.65146627565,209821.53352489707,1927.6979152493625,209433.03278451212,210185.43857689496,100,0.2901715177404407,5d1c6b6,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,1024,1,1,3627.041036749628,3627.4844381013304,2.4466718145296147,3627.0247526962103,3627.97915890178,100,0.2629345261725754,5d1c6b6,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,1048576,1,1,3538641.333333333,3535818.0480000013,37986.031333725055,3528465.0861166664,3543306.490150001,100,0.2759710318197455,5d1c6b6,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/256B/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,256,1,1,909.9921522931628,909.9990116017086,2.6600409207910896,909.4962889387908,910.5367236116664,100,0.2620006980288261,5d1c6b6,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,4096,1,1,13759.66087962963,13760.837804161793,10.428835342665856,13758.932242294137,13762.991137332485,100,0.2772377385602893,5d1c6b6,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/64B/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,64,1,1,218.81207968276937,218.7495752031789,1.4340018009674544,218.46830033093772,219.02705791575977,100,0.2724010706438355,5d1c6b6,pass
r64/r64-decode/INCOMPRESSIBLE_LIKE/64KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,65536,1,1,217655.2502419355,217594.04630066903,644.8693250289351,217450.3089023883,217696.09709537265,100,0.28042124498332177,5d1c6b6,pass
r64/r64-decode/PRIME_RESIDUE/1KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,1024,1,1,3346.3956936366535,3346.6760548116577,1.777974342377415,3346.3455208781143,3347.0378621965,100,0.2849855198593853,5d1c6b6,pass
r64/r64-decode/PRIME_RESIDUE/1MiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,1048576,1,1,3421829.3666666667,3426519.1386666675,13264.399237040909,3424151.0697666677,3429300.6333833346,100,0.28539193377468336,5d1c6b6,pass
r64/r64-decode/PRIME_RESIDUE/256B/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,256,1,1,840.7847999323567,841.8541172839308,3.2801380988195996,841.2714173009833,842.5450926544138,100,0.2835667094846908,5d1c6b6,pass
r64/r64-decode/PRIME_RESIDUE/4KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,4096,1,1,13309.511511511511,13359.211433615004,93.23316835003,13341.85247565558,13378.078186071692,100,0.28661437065707746,5d1c6b6,pass
r64/r64-decode/PRIME_RESIDUE/64B/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,64,1,1,210.38476867069255,211.02471515625,1.5866863104815982,210.72675878117988,211.34405051882865,100,0.2833125475384939,5d1c6b6,pass
r64/r64-decode/PRIME_RESIDUE/64KiB/iter,r64,r64-decode,r64-decode,r64-decode,not_applicable,65536,1,1,217504.65201271183,216791.88187920488,2166.354902023686,216360.48256096375,217200.7316931635,100,0.2806154060853506,5d1c6b6,pass
