benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,572610.816830986,572690.2661113483,504.01926314260675,572594.9495073631,572791.8239201191,100,1.7054559070410402,5d1c6b6,pass
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,138778.8216235632,139791.9469235462,1519.07266888832,139501.2833830924,140089.96266436848,100,1.759206643663758,5d1c6b6,pass
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,34066.99406565656,34103.12617314415,104.0944476121621,34084.45032602176,34124.77734790991,100,1.791621419030053,5d1c6b6,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,1162641.4820261437,1159294.982822123,11168.744933897147,1157033.809741583,1161383.278735856,100,0.8399515371652984,5d1c6b6,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,194134.47545045044,193695.08155498988,4253.903467243662,192875.9677409719,194530.7188166756,100,1.2575851065789332,5d1c6b6,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,39210.97200584225,39213.877705739265,31.239690297301905,39207.9101739344,39220.13085797704,100,1.5565836072848702,5d1c6b6,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,572943.4522909778,575926.0100391782,6392.907943904061,574723.7269872016,577214.4172303483,100,1.7044657655046178,5d1c6b6,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,142029.0928747086,142189.7289523485,400.03079468207574,142113.72536010545,142269.80261003983,100,1.7189479990227734,5d1c6b6,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,36678.81404222443,36552.19474238948,410.3393681411167,36472.51820659679,36631.73030116632,100,1.6640438859265376,5d1c6b6,pass
scalar/scalar-16way/allocating/SKEWED_255_1/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,591950.1547619047,593879.6823538626,3974.6184697578246,593133.2974085067,594687.3642906136,100,1.6497377222458787,5d1c6b6,pass
scalar/scalar-16way/allocating/SKEWED_255_1/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,142908.01556776557,143105.83887139906,682.3742882773198,142983.53392696122,143248.7531466462,100,1.7083760069723377,5d1c6b6,pass
scalar/scalar-16way/allocating/SKEWED_255_1/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,35205.78137931034,35216.46509633735,48.15309978302288,35207.85998218034,35226.51440402753,100,1.733668558365502,5d1c6b6,pass
scalar/scalar-16way/allocating/SPARSE_2/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,581000.3312693499,581089.8756707681,460.45327638029744,581004.5466110966,581183.555923013,100,1.6808295063557694,5d1c6b6,pass
scalar/scalar-16way/allocating/SPARSE_2/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,143813.19913419912,144125.12933207166,807.1987482535972,143973.66136909268,144288.09322103628,100,1.6976232117066004,5d1c6b6,pass
scalar/scalar-16way/allocating/SPARSE_2/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,36960.238146113144,36966.32314419484,111.54241628440248,36946.27766737566,36989.88985894356,100,1.6513734573005898,5d1c6b6,pass
scalar/scalar-16way/allocating/UNIFORM256/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,632163.5335144927,632421.8580275902,804.0955940198676,632275.909379744,632587.5361290663,100,1.5447941050487877,5d1c6b6,pass
scalar/scalar-16way/allocating/UNIFORM256/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,157426.30346051464,157485.40526823344,295.58064108364,157439.96686036073,157552.36230004503,100,1.5508248598445613,5d1c6b6,pass
scalar/scalar-16way/allocating/UNIFORM256/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,39304.0868444056,39377.42032795012,134.56174752848446,39351.7645047046,39404.247184273205,100,1.5528959238163171,5d1c6b6,pass
scalar/scalar-16way/into/FREQ1_RESIDUAL/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,689943.9771760155,667776.0104071879,34441.82541856918,660939.9353453211,674389.6541398356,100,1.415422892735628,5d1c6b6,pass
scalar/scalar-16way/into/FREQ1_RESIDUAL/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,155245.98099415205,155429.3340314773,3520.710044627067,154753.92961940242,156124.78502079166,100,1.572605122764476,5d1c6b6,pass
scalar/scalar-16way/into/FREQ1_RESIDUAL/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,37848.02382697947,37988.48804748656,468.0338578646579,37900.58543381094,38083.297235942766,100,1.6126378626535287,5d1c6b6,pass
scalar/scalar-16way/into/INCOMPRESSIBLE_LIKE/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,1289363.3402777778,1310186.6347684858,33955.046993607095,1303727.6724289332,1316921.937162436,100,0.7573989964610064,5d1c6b6,pass
scalar/scalar-16way/into/INCOMPRESSIBLE_LIKE/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,233197.81598101265,232433.51456454516,3805.576281986601,231703.2417566995,233185.27827907115,100,1.046925006449796,5d1c6b6,pass
scalar/scalar-16way/into/INCOMPRESSIBLE_LIKE/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,42989.234668803416,43086.2076332016,319.25108236263566,43029.54283495851,43153.18107895257,100,1.4197776890011073,5d1c6b6,pass
scalar/scalar-16way/into/RENORM_BOUNDARY/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,691917.4206349207,674605.9639132005,33339.95375686837,667986.714936447,680975.3072710918,100,1.4113859123591395,5d1c6b6,pass
scalar/scalar-16way/into/RENORM_BOUNDARY/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,156119.56392045453,157710.56688128223,3122.728621441368,157113.4606705022,158328.95086815854,100,1.5638054505737258,5d1c6b6,pass
scalar/scalar-16way/into/RENORM_BOUNDARY/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,39710.598129251695,39518.92352428092,685.363376952702,39391.23440115669,39659.78729150725,100,1.5369991671074874,5d1c6b6,pass
scalar/scalar-16way/into/SKEWED_255_1/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,708846.1622807018,691627.9918511328,31755.139973606932,685340.079863737,697775.7539267343,100,1.3776790394941618,5d1c6b6,pass
scalar/scalar-16way/into/SKEWED_255_1/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,156919.56718500797,159500.09934493844,4406.8901185805435,158653.96043741354,160369.4214012493,100,1.5558328982143987,5d1c6b6,pass
scalar/scalar-16way/into/SKEWED_255_1/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,38229.89061800268,38415.02777623364,434.2387874783509,38334.38285899793,38503.778308920264,100,1.5965297117867814,5d1c6b6,pass
scalar/scalar-16way/into/SPARSE_2/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,704536.6152777778,684694.8224272698,36551.74612150454,677448.0235387585,691697.1627800313,100,1.3861060998440378,5d1c6b6,pass
scalar/scalar-16way/into/SPARSE_2/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,162052.1877136752,163435.171568261,3999.469472419483,162696.99811415997,164253.86832737693,100,1.5065555636395618,5d1c6b6,pass
scalar/scalar-16way/into/SPARSE_2/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,41195.42388285024,41129.854553214915,567.2787842011719,41021.61129434052,41243.43458676792,100,1.4816003938585298,5d1c6b6,pass
scalar/scalar-16way/into/UNIFORM256/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,754091.0573809524,734051.836460249,34676.36562038347,727220.2319756837,740723.383884931,100,1.2950193354522956,5d1c6b6,pass
scalar/scalar-16way/into/UNIFORM256/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,177250.91753393665,175909.0026345469,3319.2627754452283,175255.57133820327,176549.39609133636,100,1.377372982869082,5d1c6b6,pass
scalar/scalar-16way/into/UNIFORM256/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,43347.77725925926,43252.58364007741,445.9435555578345,43166.04128318809,43340.15174982113,100,1.408034277858218,5d1c6b6,pass
scalar/scalar-8way-packed/allocating/SKEWED_255_1/64KiB,scalar,scalar-8way,scalar-8way,scalar-8way-packed,not_applicable,65536,1,1,40959.5544971537,40931.14217014077,132.80380235218678,40905.87542699884,40957.69785227994,100,1.49013232686018,5d1c6b6,pass
scalar/scalar-8way-packed/into/SKEWED_255_1/64KiB,scalar,scalar-8way,scalar-8way,scalar-8way-packed,not_applicable,65536,1,1,37214.52177337487,37060.46945407805,417.8323545693556,36978.95542225706,37141.60323573797,100,1.6400897644657522,5d1c6b6,pass
scalar/uniform256-scalar-specialized/allocating/UNIFORM256/1MiB/uniform256-scalar,scalar,scalar-16way,scalar-16way,uniform256-scalar-specialized,not_applicable,1048576,1,1,632644.0889689579,632862.8140319398,1761.87943551392,632612.3061116771,633265.4465329613,100,1.5436206818774485,5d1c6b6,pass
