benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
byte-rans/byte-decode/FREQ1_RESIDUAL/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,1024,1,1,3243.6994550991644,3221.1527352337166,28.304123910606556,3215.639727831788,3226.626027085877,100,0.2940082241303379,8b96b69,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,1048576,1,1,3291289.9000000004,3293562.639333332,11251.12228078416,3291657.1845666673,3295978.118100001,100,0.29671117697654037,8b96b69,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,256,1,1,807.8413955479452,811.4533999710834,7.08531577776531,810.0845811265956,812.856242425768,100,0.2951304308190931,8b96b69,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,4096,1,1,12954.580341497103,12906.791774729603,116.9036824832953,12883.909597695749,12929.634498482465,100,0.2944670660928683,8b96b69,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,64,1,1,198.1321640276628,198.45284098568777,0.99992531509504,198.26996694909192,198.65885348711151,100,0.30083275508497825,8b96b69,pass
byte-rans/byte-decode/FREQ1_RESIDUAL/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,65536,1,1,204535.35264758495,204653.4676000581,538.5521058890779,204561.372131164,204770.4212835882,100,0.2984088347561302,8b96b69,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,1024,1,1,3595.9255597014926,3596.1022305325187,3.0558569645929285,3595.5086743408087,3596.6954919119826,100,0.26520969374166276,8b96b69,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/1MiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,1048576,1,1,3733690.4285714286,3740155.7657142854,18890.835038024023,3736729.264874998,3744069.7223571423,100,0.2615542232765261,8b96b69,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/256B/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,256,1,1,897.4694517400496,897.4710008651316,0.5030536054206787,897.3749579611691,897.5707557899608,100,0.2656564840611645,8b96b69,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/4KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,4096,1,1,14567.342708761826,14568.052228217868,7.85244054957092,14566.544100522817,14569.607967922224,100,0.26186637754671427,8b96b69,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/64B/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,64,1,1,218.22831431517295,218.47595476317773,0.7774584722898492,218.34003260941105,218.6407823295671,100,0.2731297492831637,8b96b69,pass
byte-rans/byte-decode/INCOMPRESSIBLE_LIKE/64KiB/iter,byte-rans,byte-decode,byte-decode,byte-decode,not_applicable,65536,1,1,233550.94979591836,233498.67863493031,138.38044702665778,233471.3905161109,233525.1202635154,100,0.26133550860458404,8b96b69,pass
