benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
model_cache/e2e/cold/1-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,16777216,1,1,54024308,54140083.74,401140.1279429587,54065163.67025,54221224.208500005,100,0.28922165925753274,8b96b69,pass
model_cache/e2e/cold/1-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,524288,1,1,992992.8368217056,996070.2098374248,15725.99429072965,993417.1904062224,999519.8343029734,100,0.49172686034962015,8b96b69,pass
model_cache/e2e/cold/1-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,8388608,1,1,26530552.25,26542567.995,147804.147539476,26514063.540000003,26571553.04425,100,0.2944718197488709,8b96b69,pass
model_cache/e2e/cold/1-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,131072,1,1,328884.8779342723,329264.51352689473,1720.2281083420935,328941.3759520433,329611.91430711915,100,0.3711642604753502,8b96b69,pass
model_cache/e2e/cold/1-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,33554432,1,1,108697627,108795203.43,692468.3875038533,108665173.66125,108935078.98575,100,0.28749477667989937,8b96b69,pass
model_cache/e2e/cold/1-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,2097152,1,1,4137586.7083333335,4149696.1391666657,239854.59136040488,4103776.1729375,4197200.872541667,100,0.47204448817140093,8b96b69,pass
model_cache/e2e/cold/16-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,16777216,16,16,12145867.625,12171330.325,415743.61752311833,12091982.89125,12254147.477562498,100,1.286445767599085,8b96b69,pass
model_cache/e2e/cold/16-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,524288,16,16,497831.0373816695,501425.5788787009,11168.961226752064,499310.6476237233,503689.6992068525,100,0.9808172117353382,8b96b69,pass
model_cache/e2e/cold/16-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,8388608,16,16,5958439.375,5993058.65875,143061.06650899551,5966001.639375,6021614.55909375,100,1.3111654761109321,8b96b69,pass
model_cache/e2e/cold/16-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,131072,16,16,285306.13808139536,287331.7089708056,9517.303877390168,285581.16142075934,289302.0422233748,100,0.42785729504765996,8b96b69,pass
model_cache/e2e/cold/16-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,33554432,16,8,27978471,27896949.015,930473.8481455512,27716950.9545,28078870.9515,100,1.1169302282458538,8b96b69,pass
model_cache/e2e/cold/16-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,2097152,16,16,1406636.7207207207,1417952.2344456697,37991.04631018651,1411060.5245873425,1425929.5217086258,100,1.3885070475049692,8b96b69,pass
model_cache/e2e/cold/2-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,16777216,2,2,30502780.25,30518434.04,153618.39682608843,30489552.46625,30549695.03825,100,0.5122483875875544,8b96b69,pass
model_cache/e2e/cold/2-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,524288,2,2,646182.7863799282,654823.5848746137,73677.31441568118,646585.849817951,670244.523111049,100,0.7556395191760976,8b96b69,pass
model_cache/e2e/cold/2-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,8388608,2,2,15016455.125,15015463,86666.71866415981,14998843.30125,15032859.98875,100,0.5202626009245974,8b96b69,pass
model_cache/e2e/cold/2-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,131072,2,2,235431.32208635265,236262.9311499241,4030.3247331455073,235608.57943218204,237155.9298672623,100,0.5184964830432649,8b96b69,pass
model_cache/e2e/cold/2-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,33554432,2,2,60890122,60991170.35,307689.65739210055,60933299.07875,61053459.59325,100,0.5132195333752164,8b96b69,pass
model_cache/e2e/cold/2-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,2097152,2,2,2419537.1315789474,2429513.872631579,72181.07547998686,2416014.4490394737,2444075.6186052635,100,0.8072308436636494,8b96b69,pass
model_cache/e2e/cold/32-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,16777216,32,16,13394180.25,13472548.84,331166.55982719583,13409244.9216875,13537898.3810625,100,1.1665514207187109,8b96b69,pass
model_cache/e2e/cold/32-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,524288,32,32,692847.2242971887,696008.73756223,15118.041489959567,693179.506198313,699036.5461445168,100,0.7047459134952924,8b96b69,pass
model_cache/e2e/cold/32-workers/262144-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,8388608,32,32,6451592.785714285,6583814.009999998,333089.99586939794,6519856.61910714,6649161.300499997,100,1.210941275974386,8b96b69,pass
model_cache/e2e/cold/32-workers/4096-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,131072,32,32,476971.6528366914,481539.8184482731,14454.31065452303,478829.8738726648,484464.9039572758,100,0.2559278141038608,8b96b69,pass
model_cache/e2e/cold/32-workers/4194304-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,33554432,32,8,28558144.25,28696495.94,1164552.4458154314,28471036.250125,28924584.94475,100,1.0942587769861831,8b96b69,pass
model_cache/e2e/cold/32-workers/65536-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,2097152,32,32,1609836.5576923075,1613777.6699641687,28107.529039233865,1608454.9511332146,1619423.3692104488,100,1.2132442828853351,8b96b69,pass
model_cache/e2e/cold/4-workers/1048576-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,16777216,4,4,18758189.833333332,18845424.166666664,287467.7509781086,18792018.522583336,18904031.93983334,100,0.8329694996600553,8b96b69,pass
model_cache/e2e/cold/4-workers/16384-bytes/cold,model_cache,parallel,parallel,e2e,not_applicable,524288,4,4,485002.2811032864,486523.80357224366,5390.9783631540295,485557.5451381663,487669.57687241235,100,1.006760728814006,8b96b69,pass
