benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
model_cache/public/grouped/1-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,1,1,74128457,74233925.34,532905.3653054715,74136333.0485,74344337.64975,100,0.26883374766646934,8b96b69,pass
model_cache/public/grouped/16-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,16,16,24932495.25,25199674.115,975329.0800731505,25014958.643375,25394354.293625,100,0.799287464179612,8b96b69,pass
model_cache/public/grouped/2-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,2,2,48988218.5,49043652.33,244626.70894944292,48997172.68025,49092866.20725,100,0.4067963995066022,8b96b69,pass
model_cache/public/grouped/32-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,32,25,26557450.5,26575967.85,1154141.110626193,26352735.66875,26803588.51575,100,0.7503819278150484,8b96b69,pass
model_cache/public/grouped/4-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,4,4,28842250.75,29001419.39,515053.5218251476,28906266.131875,29106459.19375,100,0.6909388270970053,8b96b69,pass
model_cache/public/grouped/8-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,8,8,25446303,25692813.095,859344.35475961,25531060.102,25864801.58675,100,0.783148377351426,8b96b69,pass
model_cache/public/natural/1-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,1,1,57636688.5,57750031.09,506793.1745296699,57658922.35475,57855970.117,100,0.3457560006078892,8b96b69,pass
model_cache/public/natural/16-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,16,16,22229435.666666668,22330535.13666667,570220.0228490757,22221914.31058334,22443280.230999995,100,0.8964793889898593,8b96b69,pass
model_cache/public/natural/2-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,2,2,33808091.25,33820718,200304.49551834475,33783036.984375,33861059.983625,100,0.5894515237988397,8b96b69,pass
model_cache/public/natural/32-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,32,25,22310323,22572099.736666664,865907.1931482559,22408562.918,22745017.48175,100,0.8932291524440378,8b96b69,pass
model_cache/public/natural/4-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,4,4,25716584.25,25876629.375,460169.1692371743,25790159.521375,25970647.332875,100,0.7749174894423516,8b96b69,pass
model_cache/public/natural/8-workers/smoke-25-blocks/decode,model_cache,parallel,parallel,public,not_applicable,21397775,8,8,22547977.666666664,22684446.769999996,676995.6705046409,22555707.298333332,22819379.99558333,100,0.8838145575025652,8b96b69,pass
