benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
parallel/decode/cold-executor/16threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,not_applicable,16777216,16,1,23261762.658088237,23236883.395575475,292704.28577142704,23133626.82063196,23340264.99355419,30,0.6717031821561942,8b96b69,pass
parallel/decode/cold-executor/16threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,not_applicable,67108864,16,16,35067907.30128205,34918746.93899759,579680.4543823614,34708170.69374908,35113948.55549576,30,1.782256336628193,8b96b69,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,not_applicable,16777216,1,1,22903105.313186813,22928276.991682153,168362.59382031808,22874109.88195186,22992128.684886083,30,0.6822218990105097,8b96b69,pass
parallel/decode/cold-executor/1threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,not_applicable,67108864,1,1,94764111.5,94577932.04166669,666098.3802767991,94334097.67854166,94800425.98666666,30,0.6595323800403067,8b96b69,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,not_applicable,16777216,2,1,23305733.566666663,23294643.6765319,159962.7231539027,23238194.69606646,23350436.340364527,30,0.6704358803083489,8b96b69,pass
parallel/decode/cold-executor/2threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,not_applicable,67108864,2,2,60430090.33333333,60614358.52222223,515663.12928536674,60441525.16597223,60802944.05069446,30,1.0342529633043573,8b96b69,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,not_applicable,16777216,4,1,23687664.370370373,23648580.787381817,313808.6021851976,23535924.10400562,23756750.439466737,30,0.6596260296369477,8b96b69,pass
parallel/decode/cold-executor/4threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,not_applicable,67108864,4,4,43687733.3125,43758811.80416667,280984.3878851023,43671402.49135417,43868070.70791666,30,1.430607524380703,8b96b69,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/16MiB/decode,parallel,parallel-auto,parallel-auto,decode,not_applicable,16777216,8,1,23306422.949230768,23262806.14724232,222912.20446773645,23184620.34409593,23341883.786375552,30,0.6704160494313739,8b96b69,pass
parallel/decode/cold-executor/8threads/1MiB-blocks/64MiB/decode,parallel,parallel-auto,parallel-auto,decode,not_applicable,67108864,8,8,36432224.02524631,36381559.07952357,339503.4331159639,36255698.97488064,36492711.65219304,30,1.715514264423978,8b96b69,pass
parallel/encode/cold-executor/16threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,not_applicable,67108864,16,16,33492370.14,33516248.29604419,664361.2977997127,33284947.49231497,33753679.75308052,30,1.8660966583955232,8b96b69,pass
parallel/encode/cold-executor/1threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,not_applicable,67108864,1,1,153854035.8333333,153922796.6888889,826332.3349254471,153639738.11694443,154219147.3391667,30,0.40622918769387933,8b96b69,pass
parallel/encode/cold-executor/2threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,not_applicable,67108864,2,2,84274361,84401728.14166667,883813.7508350373,84094681.55875,84715216.32937501,30,0.7416253206595065,8b96b69,pass
parallel/encode/cold-executor/4threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,not_applicable,67108864,4,4,51048035.07142857,51136222.99999999,767350.8506792608,50879978.16071427,51420288.446309514,30,1.224337036921154,8b96b69,pass
parallel/encode/cold-executor/8threads/1MiB-blocks/64MiB/encode,parallel,parallel-auto,parallel-auto,encode,not_applicable,67108864,8,8,38452482.0625,38449382.020833336,984237.8379259288,38088676.28989584,38782878.373645835,30,1.6253827229777673,8b96b69,pass
parallel/verify/cold-executor/16threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,not_applicable,67108864,16,16,10821096.263636364,10867049.407788323,154782.05491529428,10815710.208774917,10923903.658472586,30,5.775754921433188,8b96b69,pass
parallel/verify/cold-executor/1threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,not_applicable,67108864,1,1,91931454.5,91898825.375,311504.3664805405,91791021.81729166,92009685.764375,30,0.6798543582273029,8b96b69,pass
parallel/verify/cold-executor/2threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,not_applicable,67108864,2,2,46538334,48350055.75833333,4552748.323490612,47007203.8253125,50158966.65416667,30,1.3429788870396606,8b96b69,pass
parallel/verify/cold-executor/4threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,not_applicable,67108864,4,4,23710945.39560439,23698196.940461893,195153.0311153181,23631888.988132067,23768739.480288167,30,2.6359134550403227,8b96b69,pass
parallel/verify/cold-executor/8threads/1MiB-blocks/64MiB/verify,parallel,parallel-auto,parallel-auto,verify,not_applicable,67108864,8,8,14548463.21875,14640202.27694508,1845234.597856832,14087178.084208978,15366586.834072858,30,4.295986391157126,8b96b69,pass
