benchmark_id,tier,backend_requested,backend_executed,api,profile,bytes,threads_requested,threads_effective,median_ns,mean_ns,stddev_ns,confidence_low_ns,confidence_high_ns,sample_count,throughput_gib_s,commit,status
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,573388.9347826086,576915.2807051553,7411.938533229867,575560.0843793344,578433.4336452582,100,1.7031415166221306,8b96b69,pass
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,139332.24791426928,139549.12425252525,864.072209668,139395.41779674974,139730.79433499847,100,1.752219092526369,8b96b69,pass
scalar/scalar-16way/allocating/FREQ1_RESIDUAL/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,34094.111052631575,34162.39814007475,301.09184000497413,34113.83909445375,34229.1773077498,100,1.7901964405459683,8b96b69,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,1143041.893939394,1150787.3198062126,15111.643419952972,1147881.3445300802,1153784.789664793,100,0.8543540750150134,8b96b69,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,193516.60833333337,195447.97877897788,5958.075223125105,194334.00551016335,196655.36988350344,100,1.2616003716821373,8b96b69,pass
scalar/scalar-16way/allocating/INCOMPRESSIBLE_LIKE/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,39268.967599566895,39420.061021800626,429.3989561514805,39346.2089120854,39512.06020366744,100,1.5542847184674438,8b96b69,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,577768.7061643836,577868.8924947313,3147.4513438002487,577283.4087599365,578510.1265096043,100,1.6902308650170366,8b96b69,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/256KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,262144,1,1,143947.33108826657,143975.66289279034,1542.6477346065687,143684.96003773948,144285.22084072838,100,1.6960413448047624,8b96b69,pass
scalar/scalar-16way/allocating/RENORM_BOUNDARY/64KiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,65536,1,1,35971.96951618176,36016.82433891763,279.6479029748337,35965.77005524377,36075.07976364419,100,1.6967421320243177,8b96b69,pass
scalar/scalar-16way/allocating/SKEWED_255_1/1MiB/iter,scalar,scalar-16way,scalar-16way,scalar-16way,not_applicable,1048576,1,1,589606.7541666667,590627.2979193334,2146.6388437979813,590228.1067129271,591065.9330748956,100,1.656294628748352,8b96b69,pass
